,Machine,TestNumber,Type,DateTime,TestRef,ISO_Code,NAS_Class,AS4059,RH,Temperature,ISO4,ISO6,ISO14,Volume,TotalCount4,TotalCount6,TotalCount14,TotalCount21,TotalCount25,TotalCount38,TotalCount50,TotalCount68,Stage1Count4,Stage1Count6,Stage1Count14,Stage1Count21,Stage1Count25,Stage1Count38,Stage1Count50,Stage1Count68,Stage2Count4,Stage2Count6,Stage2Count14,Stage2Count21,Stage2Count25,Stage2Count38,Stage2Count50,Stage2Count68,Stage3Count4,Stage3Count6,Stage3Count14,Stage3Count21,Stage3Count25,Stage3Count38,Stage3Count50,Stage3Count68,Customer,Fluid,TankVolume,WorkingHours,Viscosity,Contamination,SampleMethodID,SampleDate,AnalysisRequestedCounting,AnalysisRequestedWater,AnalysisRequestedFilterability,AnalysisRequestedMembrane,AnalysisRequestedPhotography,AnalysisRequestedViscosity,AnalysisRequestedTAN,ResultWater,ResultFilterability,ResultViscosity,ResultViscosityTemp,ResultTAN,MembraneSize,MembraneVolume,MembranePoreSize,ContaminationLightMetal,ContaminationDarkMetal,ContaminationYellowMetal,ContaminationSilica,ContaminationRubberPlastic,ContaminationFibre,ContaminationOther,FilterabilityVolume,FilterabilityTime,FilterabilityArea,FilterabilityIndex,CountingNotes,CountingFailureID,ReferenceID,NASStage1Count5_15,NASStage1Count15_25,NASStage1Count25_50,NASStage1Count50_100,NASStage1Count100,NASStage2Count5_15,NASStage2Count15_25,NASStage2Count25_50,NASStage2Count50_100,NASStage2Count100,NASStage3Count5_15,NASStage3Count15_25,NASStage3Count25_50,NASStage3Count50_100,NASStage3Count100,NASTotalCount5_15,NASTotalCount15_25,NASTotalCount25_50,NASTotalCount50_100,NASTotalCount100,NAS_CLASS_5_15,NAS_CLASS_15_25,NAS_CLASS_25_50,NAS_CLASS_50_100,NAS_CLASS_100,AS4059_A,AS4059_B,AS4059_C,AS4059_D,AS4059_E,AS4059_F,AS4059E1_CLASS_6_14,AS4059E1_CLASS_14_21,AS4059E1_CLASS_21_38,AS4059E1_CLASS_38_70,AS4059E1_CLASS_70,AS4059E1_TotalCount6_14,AS4059E1_TotalCount14_21,AS4059E1_TotalCount21_38,AS4059E1_TotalCount38_70,AS4059E1_TotalCount70,AS4059E1_Stage1Count6_14,AS4059E1_Stage1Count14_21,AS4059E1_Stage1Count21_38,AS4059E1_Stage1Count38_70,AS4059E1_Stage1Count70,AS4059E1_Stage2Count6_14,AS4059E1_Stage2Count14_21,AS4059E1_Stage2Count21_38,AS4059E1_Stage2Count38_70,AS4059E1_Stage2Count70,AS4059E1_Stage3Count6_14,AS4059E1_Stage3Count14_21,AS4059E1_Stage3Count21_38,AS4059E1_Stage3Count38_70,AS4059E1_Stage3Count70,AS4059E1_CLASS1,AS4059E1_CLASS2,AS4059E1_CLASS3,AS4059E1_CLASS,portion,scanned_volume_ml,count_4,count_5,count_6,count_7,count_8,count_9,count_10,count_11,count_12,count_13,count_14,count_15,count_16,count_17,count_18,count_19,count_20,count_21,count_22,count_23,count_24,count_25,count_26,count_27,count_28,count_29,count_30,count_38,count_50,count_70
,1117100001,190,5,2025-11-28 13:43:53,00001 Clause 6, 19/17/14 ,9,9A/9B/8C/9D/6E/0F,,,19,17,14,,265870,117100,9950,3020,1540,60,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107150,6930,2960,60,0,9,8,9,6,0,9,9,8,9,6,0,9,8,9,6,0,107150,6930,2960,60,0,,,,,,,,,,,,,,,,9,9,9,9,1,8.310822,37791,33118,28973,25265,21894,18858,16165,13721,11466,9440,7658,6186,4911,3839,3015,2366,1880,1468,1143,885,688,524,419,313,227,173,128,88,67,39
,1117100001,191,5,2025-11-28 13:44:22,00001 Clause 6, 19/17/14 ,9,9A/9B/8C/9D/6E/0F,,,19,17,14,,264244,115803,9963,2884,1310,80,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105840,7079,2804,80,0,9,8,9,6,0,9,9,8,9,6,0,9,8,9,6,0,105840,7079,2804,80,0,,,,,,,,,,,,,,,,9,9,9,9,2,8.701783,38763,34044,29855,26059,22802,19548,16737,14195,11889,9778,7980,6417,5096,4000,3164,2467,1917,1500,1185,930,740,546,402,307,222,167,116,76,52,39
,1117100001,192,5,2025-11-28 13:44:50,00001 Clause 6, 19/17/14 ,9,9A/9B/8C/9D/5E/0F,,,19,17,14,,259228,113651,9580,2719,1214,46,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104071,6861,2673,46,0,9,8,9,6,0,9,9,8,9,5,0,9,8,9,6,0,104071,6861,2673,46,0,,,,,,,,,,,,,,,,9,9,9,9,3,8.642187,38258,33531,29252,25540,22192,19117,16341,13826,11548,9533,7770,6176,4867,3825,3006,2345,1857,1476,1141,876,698,529,390,291,203,154,107,81,59,49
,1117100001,193,5,2025-11-28 13:45:19,00001 Clause 6, 19/17/14 ,9,9A/9B/8C/9D/6E/0F,,,19,17,14,,258866,114656,9468,2527,1057,57,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105188,6941,2470,57,0,9,8,9,6,0,9,9,8,9,6,0,9,8,9,6,0,105188,6941,2470,57,0,,,,,,,,,,,,,,,,9,9,9,9,4,8.702553,38686,33954,29625,25742,22323,19289,16521,14091,11761,9677,7854,6299,5008,3944,3081,2364,1837,1429,1109,870,685,512,393,276,199,148,93,66,45,28
,1117100001,194,5,2025-11-28 13:45:48,00001 Clause 6, 19/17/14 ,9,9A/9B/8C/9D/6E/0F,,,19,17,14,,258625,115789,9329,2608,1206,57,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106460,6721,2551,57,0,9,8,9,6,0,9,9,8,9,6,0,9,8,9,6,0,106460,6721,2551,57,0,,,,,,,,,,,,,,,,9,9,9,9,5,8.703709,38724,33856,29545,25720,22284,19237,16544,14086,11866,9783,7950,6369,5075,4010,3164,2470,1898,1483,1130,878,666,510,378,276,207,152,108,70,46,33
,1117100001,197,5,2025-11-28 13:49:29,00001 Clause 6, 19/17/14 ,9,9A/9B/8C/9D/6E/0F,,,19,17,14,,280242,119618,8888,2701,1169,72,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110730,6187,2629,72,0,9,8,9,6,0,9,9,8,9,6,0,9,8,9,6,0,110730,6187,2629,72,0,,,,,,,,,,,,,,,,9,9,9,9,1,8.291393,40656,35387,30744,26608,23018,19687,16773,14091,11757,9609,7740,6118,4729,3634,2786,2161,1688,1286,1030,803,597,461,358,268,209,153,99,73,53,36
,1117100001,198,5,2025-11-28 13:49:58,00001 Clause 6, 19/17/14 ,9,9A/9B/8C/9D/7E/0F,,,19,17,14,,273540,117998,9282,2763,1405,115,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108716,6519,2648,115,0,9,8,9,7,0,9,9,8,9,7,0,9,8,9,7,0,108716,6519,2648,115,0,,,,,,,,,,,,,,,,9,9,9,9,2,8.68319,41394,35966,31215,27155,23517,20199,17259,14601,12117,9948,7975,6363,4943,3877,3028,2336,1766,1401,1115,872,658,498,392,288,225,177,126,84,64,51
,1117100001,199,5,2025-11-28 13:50:26,00001 Clause 6, 19/17/14 ,9,9A/9B/8C/9D/5E/6F,,,19,17,14,,279603,120096,8999,2719,1209,46,23,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111097,6280,2673,35,11,9,8,9,5,6,9,9,8,9,5,6,9,8,9,5,6,111097,6280,2673,35,11,,,,,,,,,,,,,,,,9,9,9,9,3,8.678004,41924,36607,31884,27690,24020,20560,17541,14818,12334,10105,8062,6403,5027,3878,2958,2280,1777,1422,1111,839,647,491,368,290,217,153,108,71,46,29
,1117100001,200,5,2025-11-28 13:50:55,00001 Clause 6, 19/17/14 ,9,9A/9B/8C/8D/4E/0F,,,19,17,14,,272191,113776,8621,2364,1205,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105155,6257,2341,23,0,9,8,9,5,0,9,9,8,8,4,0,9,8,9,5,0,105155,6257,2341,23,0,,,,,,,,,,,,,,,,9,9,9,9,4,8.629205,41300,35962,31074,26934,23276,19911,16847,14119,11698,9534,7689,6142,4692,3623,2783,2144,1652,1283,1017,798,624,460,334,245,179,130,105,79,52,36
,1117100001,201,5,2025-11-28 13:51:24,00001 Clause 6, 19/17/14 ,9,9A/9B/8C/9D/4E/0F,,,19,17,14,,279498,117844,8582,2557,1232,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109262,6025,2534,23,0,9,8,9,5,0,9,9,8,9,4,0,9,8,9,5,0,109262,6025,2534,23,0,,,,,,,,,,,,,,,,9,9,9,9,5,8.680911,42116,36815,32097,27837,24035,20600,17503,14804,12201,9913,7942,6295,4949,3809,2945,2224,1723,1348,1024,814,622,468,352,272,207,159,109,79,54,32
