Machine,TestNumber,Type,DateTime,TestRef,ISO_Code,NAS_Class,AS4059,RH,Temperature,ISO4,ISO6,ISO14,Volume,TotalCount4,TotalCount6,TotalCount14,TotalCount21,TotalCount25,TotalCount38,TotalCount50,TotalCount68,Stage1Count4,Stage1Count6,Stage1Count14,Stage1Count21,Stage1Count25,Stage1Count38,Stage1Count50,Stage1Count68,Stage2Count4,Stage2Count6,Stage2Count14,Stage2Count21,Stage2Count25,Stage2Count38,Stage2Count50,Stage2Count68,Stage3Count4,Stage3Count6,Stage3Count14,Stage3Count21,Stage3Count25,Stage3Count38,Stage3Count50,Stage3Count68,Customer,Fluid,TankVolume,WorkingHours,Viscosity,Contamination,SampleMethodID,SampleDate,AnalysisRequestedCounting,AnalysisRequestedWater,AnalysisRequestedFilterability,AnalysisRequestedMembrane,AnalysisRequestedPhotography,AnalysisRequestedViscosity,AnalysisRequestedTAN,ResultWater,ResultFilterability,ResultViscosity,ResultViscosityTemp,ResultTAN,MembraneSize,MembraneVolume,MembranePoreSize,ContaminationLightMetal,ContaminationDarkMetal,ContaminationYellowMetal,ContaminationSilica,ContaminationRubberPlastic,ContaminationFibre,ContaminationOther,FilterabilityVolume,FilterabilityTime,FilterabilityArea,FilterabilityIndex,CountingNotes,CountingFailureID,ReferenceID,NASStage1Count5_15,NASStage1Count15_25,NASStage1Count25_50,NASStage1Count50_100,NASStage1Count100,NASStage2Count5_15,NASStage2Count15_25,NASStage2Count25_50,NASStage2Count50_100,NASStage2Count100,NASStage3Count5_15,NASStage3Count15_25,NASStage3Count25_50,NASStage3Count50_100,NASStage3Count100,NASTotalCount5_15,NASTotalCount15_25,NASTotalCount25_50,NASTotalCount50_100,NASTotalCount100,NAS_CLASS_5_15,NAS_CLASS_15_25,NAS_CLASS_25_50,NAS_CLASS_50_100,NAS_CLASS_100,AS4059_A,AS4059_B,AS4059_C,AS4059_D,AS4059_E,AS4059_F,AS4059E1_CLASS_6_14,AS4059E1_CLASS_14_21,AS4059E1_CLASS_21_38,AS4059E1_CLASS_38_70,AS4059E1_CLASS_70,AS4059E1_TotalCount6_14,AS4059E1_TotalCount14_21,AS4059E1_TotalCount21_38,AS4059E1_TotalCount38_70,AS4059E1_TotalCount70,AS4059E1_Stage1Count6_14,AS4059E1_Stage1Count14_21,AS4059E1_Stage1Count21_38,AS4059E1_Stage1Count38_70,AS4059E1_Stage1Count70,AS4059E1_Stage2Count6_14,AS4059E1_Stage2Count14_21,AS4059E1_Stage2Count21_38,AS4059E1_Stage2Count38_70,AS4059E1_Stage2Count70,AS4059E1_Stage3Count6_14,AS4059E1_Stage3Count14_21,AS4059E1_Stage3Count21_38,AS4059E1_Stage3Count38_70,AS4059E1_Stage3Count70,AS4059E1_CLASS1,AS4059E1_CLASS2,AS4059E1_CLASS3,AS4059E1_CLASS,portion,scanned_volume_ml,count_4,count_5,count_6,count_7,count_8,count_9,count_10,count_11,count_12,count_13,count_14,count_15,count_16,count_17,count_18,count_19,count_20,count_21,count_22,count_23,count_24,count_25,count_26,count_27,count_28,count_29,count_30,count_38,count_50,count_70
1117100001,29,5,2026-06-26 12:55,00001 CLEAN, 18/18/14 ,10,9A/10B/8C/6D/4E/0F,,,18,18,14,,224309,209123,10839,472,242,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198284,10367,447,25,0,10,8,6,5,0,9,10,8,6,4,0,10,8,6,5,0,198284,10367,447,25,0,,,,,,,,,,,,,,,,10,10,10,10,1,7.823129,2242.9646,2134.440186,2091.234863,2067.331543,2051.736572,2041.894043,2032.690552,1999.711426,1574.689697,563.713074,108.39653,42.054787,34.640873,28.249567,20.96348,12.526958,6.646957,4.729566,3.706957,3.323478,2.94,2.428696,2.045218,1.661739,1.150435,1.150435,1.022609,0.255652,0,0
1117100001,30,5,2026-06-26 12:55,00001 CLEAN, 18/18/14 ,10,9A/10B/8C/6D/00E/0F,,,18,18,14,,222802,207985,11024,565,249,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196961,10459,565,0,0,10,8,7,0,0,9,10,8,6,-1,0,10,8,7,0,0,196961,10459,565,0,0,,,,,,,,,,,,,,,,10,10,10,10,2,8.834737,2228.023438,2122.077881,2079.745117,2061.295166,2049.183838,2040.807861,2033.903198,2005.039917,1554.658691,576.248047,110.246635,44.596687,36.333851,29.542477,22.977482,14.375074,8.941976,5.659478,4.414393,4.074824,3.056118,2.49017,2.376981,1.811033,1.584654,1.245085,0.905517,0,0,0
1117100001,31,5,2026-06-26 12:56,00001 CLEAN, 18/18/14 ,10,9A/10B/8C/6D/5E/6F,,,18,18,14,,226281,211340,10712,387,193,34,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200628,10325,353,23,11,10,8,6,5,6,9,10,8,6,5,6,10,8,6,5,6,200628,10325,353,23,11,,,,,,,,,,,,,,,,10,10,10,10,3,8.774921,2262.812256,2155.346924,2113.295166,2094.149902,2082.867676,2075.346191,2067.938721,2035.345825,1592.94873,555.104675,107.123466,43.419193,36.239639,28.604244,20.057159,12.193841,6.267862,3.874679,3.304873,2.849028,2.279223,1.937339,1.709417,1.481495,1.139611,1.02565,0.683767,0.341883,0.113961,0.113961
1117100001,32,5,2026-06-26 12:56,00001 CLEAN, 18/18/14 ,10,9A/10B/8C/5D/3E/0F,,,18,18,14,,225715,210166,10502,282,135,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199664,10220,271,11,0,10,8,6,3,0,9,10,8,5,3,0,10,8,6,3,0,199664,10220,271,11,0,,,,,,,,,,,,,,,,10,10,10,10,4,8.836344,2257.155273,2141.609863,2101.661133,2084.459473,2071.558105,2063.409912,2056.619873,2023.914062,1574.972656,561.318115,105.020813,42.325199,34.969215,28.518583,21.615274,11.882743,5.432111,2.829225,2.26338,1.810704,1.358028,1.358028,1.13169,1.018521,1.018521,1.018521,1.018521,0.113169,0,0
1117100001,33,5,2026-06-26 12:57,00001 CLEAN, 18/18/14 ,10,9A/10B/8C/5D/3E/6F,,,18,18,14,,221389,206721,11204,305,101,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195517,10899,294,0,11,10,8,6,0,6,9,10,8,5,3,6,10,8,6,0,6,195517,10899,294,0,11,,,,,,,,,,,,,,,,10,10,10,10,5,8.835557,2213.895508,2106.488525,2067.328613,2047.861816,2035.63855,2027.376465,2020.925171,1989.235107,1557.343872,563.631714,112.047264,41.989429,34.745972,26.710257,20.824945,11.317905,5.206236,3.055835,2.37676,2.037223,1.24497,1.018612,1.018612,1.018612,0.905432,0.792253,0.792253,0.113179,0.113179,0.113179
1117100001,35,5,2026-06-26 13:11,00001 CLEAN, 18/18/14 ,10,9A/10B/8C/7D/6E/6F,,,18,18,14,,225459,211400,10748,613,255,63,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200652,10135,550,51,12,10,8,7,6,6,9,10,8,7,6,6,10,8,7,6,6,200652,10135,550,51,12,,,,,,,,,,,,,,,,10,10,10,10,1,7.824012,2254.5979,2153.882324,2114.004883,2092.78833,2078.856689,2070.165527,2062.113525,2028.882446,1572.594727,562.24353,107.489616,48.824059,41.666603,33.486656,25.945768,15.593023,8.563382,6.13496,5.112467,4.345597,3.195292,2.556233,2.428422,1.917175,1.661552,1.53374,1.278117,0.639058,0.127812,0.127812
1117100001,36,5,2026-06-26 13:12,00001 CLEAN, 18/18/14 ,10,9A/10B/8C/7D/6E/0F,,,18,18,14,,224271,209707,10987,678,362,67,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198720,10309,611,67,0,10,8,7,6,0,9,10,8,7,6,0,10,8,7,6,0,198720,10309,611,67,0,,,,,,,,,,,,,,,,10,10,10,10,2,8.837052,2242.716064,2140.306396,2097.192627,2074.10791,2058.718262,2048.646973,2040.159912,2006.438232,1568.735718,569.533813,109.878265,47.753479,37.908569,32.024254,25.574139,15.729227,10.410711,6.789594,6.110635,4.979036,4.639556,3.621117,3.281637,2.602678,2.376358,1.923718,1.923718,0.678959,0,0
1117100001,37,5,2026-06-26 13:12,00001 CLEAN, 18/18/14 ,10,9A/10B/8C/6D/5E/0F,,,18,18,14,,224082,209986,10611,569,330,45,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199375,10042,524,45,0,10,8,7,5,0,9,10,8,6,5,0,10,8,7,5,0,199375,10042,524,45,0,,,,,,,,,,,,,,,,10,10,10,10,3,8.78294,2240.70752,2143.13208,2099.752441,2079.258301,2065.253906,2056.373047,2049.199951,2015.270508,1576.692993,567.691467,106.114807,41.89941,34.840271,28.691988,21.405134,13.093566,7.286854,5.692854,5.009712,4.781998,3.984998,3.301856,3.074142,2.504856,2.277142,2.277142,2.049428,0.455428,0.227714,0
1117100001,38,5,2026-06-26 13:13,00001 CLEAN, 18/18/14 ,10,9A/10B/8C/6D/6E/7F,,,18,18,14,,229045,214944,10855,599,384,56,45,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204089,10256,543,34,22,10,8,7,5,7,9,10,8,6,6,7,10,8,7,5,7,204089,10256,543,34,22,,,,,,,,,,,,,,,,10,10,10,10,4,8.843664,2290.453369,2192.530029,2149.448486,2130.338623,2114.734375,2105.349121,2097.20752,2059.327393,1614.489136,578.380188,108.552292,43.194767,36.749474,31.54801,25.102716,16.282843,9.272175,5.992991,4.975313,4.409937,3.957636,3.84456,3.392259,2.939958,2.487657,2.374581,2.035355,0.565377,0.452301,0.226151
1117100001,39,5,2026-06-26 13:13,00001 CLEAN, 18/18/14 ,10,9A/10B/8C/6D/4E/0F,,,18,18,14,,226177,211009,10428,497,260,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200581,9931,475,22,0,10,8,6,4,0,9,10,8,6,4,0,10,8,6,4,0,200581,9931,475,22,0,,,,,,,,,,,,,,,,10,10,10,10,5,8.840839,2261.663086,2151.379395,2109.980713,2084.869873,2070.843994,2058.0625,2049.579102,2017.229248,1579.601196,571.099609,104.288742,47.054356,37.552994,32.123646,24.545181,15.270043,7.578466,4.976903,4.298234,3.845789,3.16712,2.601563,2.036006,1.809783,1.58356,1.244226,1.131114,0.226223,0,0
