,"Machine","TestNumber","Type","DateTime","TestRef","ISO_Code","NAS_Class","AS4059","RH","Temperature","ISO4","ISO6","ISO14","Volume","TotalCount4","TotalCount6","TotalCount14","TotalCount21","TotalCount25","TotalCount38","TotalCount50","TotalCount68","Stage1Count4","Stage1Count6","Stage1Count14","Stage1Count21","Stage1Count25","Stage1Count38","Stage1Count50","Stage1Count68","Stage2Count4","Stage2Count6","Stage2Count14","Stage2Count21","Stage2Count25","Stage2Count38","Stage2Count50","Stage2Count68","Stage3Count4","Stage3Count6","Stage3Count14","Stage3Count21","Stage3Count25","Stage3Count38","Stage3Count50","Stage3Count68","Customer","Fluid","TankVolume","WorkingHours","Viscosity","Contamination","SampleMethodID","SampleDate","AnalysisRequestedCounting","AnalysisRequestedWater","AnalysisRequestedFilterability","AnalysisRequestedMembrane","AnalysisRequestedPhotography","AnalysisRequestedViscosity","AnalysisRequestedTAN","ResultWater","ResultFilterability","ResultViscosity","ResultViscosityTemp","ResultTAN","MembraneSize","MembraneVolume","MembranePoreSize","ContaminationLightMetal","ContaminationDarkMetal","ContaminationYellowMetal","ContaminationSilica","ContaminationRubberPlastic","ContaminationFibre","ContaminationOther","FilterabilityVolume","FilterabilityTime","FilterabilityArea","FilterabilityIndex","CountingNotes","CountingFailureID","ReferenceID","NASStage1Count5_15","NASStage1Count15_25","NASStage1Count25_50","NASStage1Count50_100","NASStage1Count100","NASStage2Count5_15","NASStage2Count15_25","NASStage2Count25_50","NASStage2Count50_100","NASStage2Count100","NASStage3Count5_15","NASStage3Count15_25","NASStage3Count25_50","NASStage3Count50_100","NASStage3Count100","NASTotalCount5_15","NASTotalCount15_25","NASTotalCount25_50","NASTotalCount50_100","NASTotalCount100","NAS_CLASS_5_15","NAS_CLASS_15_25","NAS_CLASS_25_50","NAS_CLASS_50_100","NAS_CLASS_100","AS4059_A","AS4059_B","AS4059_C","AS4059_D","AS4059_E","AS4059_F","AS4059E1_CLASS_6_14","AS4059E1_CLASS_14_21","AS4059E1_CLASS_21_38","AS4059E1_CLASS_38_70","AS4059E1_CLASS_70","AS4059E1_TotalCount6_14","AS4059E1_TotalCount14_21","AS4059E1_TotalCount21_38","AS4059E1_TotalCount38_70","AS4059E1_TotalCount70","AS4059E1_Stage1Count6_14","AS4059E1_Stage1Count14_21","AS4059E1_Stage1Count21_38","AS4059E1_Stage1Count38_70","AS4059E1_Stage1Count70","AS4059E1_Stage2Count6_14","AS4059E1_Stage2Count14_21","AS4059E1_Stage2Count21_38","AS4059E1_Stage2Count38_70","AS4059E1_Stage2Count70","AS4059E1_Stage3Count6_14","AS4059E1_Stage3Count14_21","AS4059E1_Stage3Count21_38","AS4059E1_Stage3Count38_70","AS4059E1_Stage3Count70","AS4059E1_CLASS1","AS4059E1_CLASS2","AS4059E1_CLASS3","AS4059E1_CLASS","portion","scanned_volume_ml","count_4","count_5","count_6","count_7","count_8","count_9","count_10","count_11","count_12","count_13","count_14","count_15","count_16","count_17","count_18","count_19","count_20","count_21","count_22","count_23","count_24","count_25","count_26","count_27","count_28","count_29","count_30","count_38","count_50","count_70"
,"61110029",12,5,"2025-02-24 13:35:37","MTD 5.422mg/l BS500/5ml portion"," 21/20/16 ",11,"11A/11B/10C/10D/5E/7F",,,21,20,16,,1319366,504590,40101,7960,3907,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464489,32141,7932,0,28,11,10,10,0,7,11,11,10,10,5,7,11,10,10,0,7,464489,32141,7932,0,28,,,,,,,,,,,,,,,,11,11,11,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"61110029",13,5,"2025-02-24 13:35:51","MTD 5.422mg/l BS500/5ml portion"," 21/19/16 ",11,"11A/11B/10C/10D/00E/0F",,,21,19,16,,1264547,496968,41958,9103,4721,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455010,32855,9103,0,0,11,10,11,0,0,11,11,10,10,-1,0,11,10,11,0,0,455010,32855,9103,0,0,,,,,,,,,,,,,,,,11,11,11,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"61110029",14,5,"2025-02-24 13:36:05","MTD 5.422mg/l BS500/5ml portion"," 21/19/16 ",11,"11A/11B/10C/10D/00E/0F",,,21,19,16,,1237296,493550,41992,8518,4153,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451558,33474,8518,0,0,11,10,11,0,0,11,11,10,10,-1,0,11,10,11,0,0,451558,33474,8518,0,0,,,,,,,,,,,,,,,,11,11,11,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"61110029",15,5,"2025-02-24 13:36:20","MTD 5.422mg/l BS500/5ml portion"," 21/20/16 ",11,"11A/11B/10C/10D/00E/0F",,,21,20,16,,1282331,507867,42135,8785,4187,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465732,33350,8785,0,0,11,10,11,0,0,11,11,10,10,-1,0,11,10,11,0,0,465732,33350,8785,0,0,,,,,,,,,,,,,,,,11,11,11,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"61110029",16,5,"2025-02-24 13:36:34","MTD 5.422mg/l BS500/5ml portion"," 21/20/16 ",11,"11A/11B/10C/10D/5E/7F",,,21,20,16,,1268729,507168,41633,8777,4252,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465535,32856,8749,0,28,11,10,11,0,7,11,11,10,10,5,7,11,10,11,0,7,465535,32856,8749,0,28,,,,,,,,,,,,,,,,11,11,11,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"61110029",17,5,"2025-02-24 13:36:49","MTD 5.422mg/l BS500/5ml portion"," 21/20/16 ",11,"11A/11B/10C/10D/5E/7F",,,21,20,16,,1239489,505102,41742,8690,4508,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463360,33052,8662,0,28,11,10,11,0,7,11,11,10,10,5,7,11,10,11,0,7,463360,33052,8662,0,28,,,,,,,,,,,,,,,,11,11,11,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"61110029",18,5,"2025-02-24 13:37:03","MTD 5.422mg/l BS500/5ml portion"," 21/19/16 ",11,"11A/11B/10C/10D/6E/8F",,,21,19,16,,1235922,499953,42036,8843,4401,55,55,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457917,33193,8788,0,55,11,10,11,0,8,11,11,10,10,6,8,11,10,11,0,8,457917,33193,8788,0,55,,,,,,,,,,,,,,,,11,11,11,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"61110029",19,5,"2025-02-24 13:37:18","MTD 5.422mg/l BS500/5ml portion"," 21/19/16 ",11,"11A/11B/10C/10D/00E/0F",,,21,19,16,,1213694,489687,39792,7732,4273,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449895,32060,7732,0,0,11,10,10,0,0,11,11,10,10,-1,0,11,10,10,0,0,449895,32060,7732,0,0,,,,,,,,,,,,,,,,11,11,11,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"61110029",20,5,"2025-02-24 13:37:32","MTD 5.422mg/l BS500/5ml portion"," 21/20/16 ",11,"11A/11B/10C/10D/6E/9F",,,21,20,16,,1259898,506365,43417,9358,4792,84,84,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462948,34059,9274,0,84,11,10,11,0,9,11,11,10,10,6,9,11,10,11,0,9,462948,34059,9274,0,84,,,,,,,,,,,,,,,,11,11,11,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"61110029",21,5,"2025-02-24 13:37:47","MTD 5.422mg/l BS500/5ml portion"," 21/20/16 ",11,"11A/11B/10C/10D/00E/0F",,,21,20,16,,1237332,501146,41274,9340,4834,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459872,31934,9340,0,0,11,10,11,0,0,11,11,10,10,-1,0,11,10,11,0,0,459872,31934,9340,0,0,,,,,,,,,,,,,,,,11,11,11,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
