,"Machine","TestNumber","Type","DateTime","TestRef","ISO_Code","NAS_Class","AS4059","RH","Temperature","ISO4","ISO6","ISO14","Volume","TotalCount4","TotalCount6","TotalCount14","TotalCount21","TotalCount25","TotalCount38","TotalCount50","TotalCount68","Stage1Count4","Stage1Count6","Stage1Count14","Stage1Count21","Stage1Count25","Stage1Count38","Stage1Count50","Stage1Count68","Stage2Count4","Stage2Count6","Stage2Count14","Stage2Count21","Stage2Count25","Stage2Count38","Stage2Count50","Stage2Count68","Stage3Count4","Stage3Count6","Stage3Count14","Stage3Count21","Stage3Count25","Stage3Count38","Stage3Count50","Stage3Count68","Customer","Fluid","TankVolume","WorkingHours","Viscosity","Contamination","SampleMethodID","SampleDate","AnalysisRequestedCounting","AnalysisRequestedWater","AnalysisRequestedFilterability","AnalysisRequestedMembrane","AnalysisRequestedPhotography","AnalysisRequestedViscosity","AnalysisRequestedTAN","ResultWater","ResultFilterability","ResultViscosity","ResultViscosityTemp","ResultTAN","MembraneSize","MembraneVolume","MembranePoreSize","ContaminationLightMetal","ContaminationDarkMetal","ContaminationYellowMetal","ContaminationSilica","ContaminationRubberPlastic","ContaminationFibre","ContaminationOther","FilterabilityVolume","FilterabilityTime","FilterabilityArea","FilterabilityIndex","CountingNotes","CountingFailureID","ReferenceID","NASStage1Count5_15","NASStage1Count15_25","NASStage1Count25_50","NASStage1Count50_100","NASStage1Count100","NASStage2Count5_15","NASStage2Count15_25","NASStage2Count25_50","NASStage2Count50_100","NASStage2Count100","NASStage3Count5_15","NASStage3Count15_25","NASStage3Count25_50","NASStage3Count50_100","NASStage3Count100","NASTotalCount5_15","NASTotalCount15_25","NASTotalCount25_50","NASTotalCount50_100","NASTotalCount100","NAS_CLASS_5_15","NAS_CLASS_15_25","NAS_CLASS_25_50","NAS_CLASS_50_100","NAS_CLASS_100","AS4059_A","AS4059_B","AS4059_C","AS4059_D","AS4059_E","AS4059_F","AS4059E1_CLASS_6_14","AS4059E1_CLASS_14_21","AS4059E1_CLASS_21_38","AS4059E1_CLASS_38_70","AS4059E1_CLASS_70","AS4059E1_TotalCount6_14","AS4059E1_TotalCount14_21","AS4059E1_TotalCount21_38","AS4059E1_TotalCount38_70","AS4059E1_TotalCount70","AS4059E1_Stage1Count6_14","AS4059E1_Stage1Count14_21","AS4059E1_Stage1Count21_38","AS4059E1_Stage1Count38_70","AS4059E1_Stage1Count70","AS4059E1_Stage2Count6_14","AS4059E1_Stage2Count14_21","AS4059E1_Stage2Count21_38","AS4059E1_Stage2Count38_70","AS4059E1_Stage2Count70","AS4059E1_Stage3Count6_14","AS4059E1_Stage3Count14_21","AS4059E1_Stage3Count21_38","AS4059E1_Stage3Count38_70","AS4059E1_Stage3Count70","AS4059E1_CLASS1","AS4059E1_CLASS2","AS4059E1_CLASS3","AS4059E1_CLASS","portion","scanned_volume_ml","count_4","count_5","count_6","count_7","count_8","count_9","count_10","count_11","count_12","count_13","count_14","count_15","count_16","count_17","count_18","count_19","count_20","count_21","count_22","count_23","count_24","count_25","count_26","count_27","count_28","count_29","count_30","count_38","count_50","count_70"
,"61110029",33,5,"2025-03-06 14:03:51","MTD 5mgl"," 20/19/15 ",11,"11A/11B/10C/10D/5E/7F",,,20,19,15,,819243,322560,30256,6160,3224,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292304,24096,6133,0,27,11,10,10,0,7,11,11,10,10,5,7,11,10,10,0,7,292304,24096,6133,0,27,,,,,,,,,,,,,,,,11,11,11,11,2,7.181621,125101.867188,81740.812500,56608.503906,37980.000000,27083.000000,20334.000000,16066.000000,12319.000000,9784.000000,7388.000000,6239.000000,4988.000000,4109.000000,3433.000000,2887.000000,2477.000000,2045.000000,1678.000000,1421.000000,1209.000000,1031.000000,926.000000,428.000000,192.000000,160.000000,59.000000,23.000000,23.000000,23.000000,23.000000
,"61110029",34,5,"2025-03-06 14:04:20","MTD 5mgl"," 20/19/15 ",11,"11A/11B/10C/10D/3E/6F",,,20,19,15,,817411,325208,28264,6052,3023,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296944,22212,6039,0,13,11,9,10,0,6,11,11,10,10,3,6,11,9,10,0,6,296944,22212,6039,0,13,,,,,,,,,,,,,,,,11,11,11,11,3,7.144833,123842.117188,80791.039062,56114.589844,37761.000000,27092.000000,20375.000000,15949.000000,12187.000000,9617.000000,7108.000000,6024.000000,4845.000000,3958.000000,3267.000000,2744.000000,2319.000000,1901.000000,1610.000000,1365.000000,1156.000000,987.000000,886.000000,422.000000,164.000000,137.000000,61.000000,19.000000,19.000000,19.000000,19.000000
,"61110029",32,5,"2025-03-06 14:03:22","MTD 5mgl"," 20/19/15 ",11,"11A/11B/10C/10D/00E/0F",,,20,19,15,,810583,322233,28173,5878,2761,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294060,22295,5878,0,0,11,9,10,0,0,11,11,10,10,-1,0,11,9,10,0,0,294060,22295,5878,0,0,,,,,,,,,,,,,,,,11,11,11,11,1,7.008102,122720.984375,79077.804688,54617.492188,36796.000000,26236.000000,19782.000000,15503.000000,11729.000000,9306.000000,7003.000000,5845.000000,4650.000000,3798.000000,3166.000000,2677.000000,2267.000000,1865.000000,1566.000000,1325.000000,1129.000000,971.000000,879.000000,406.000000,148.000000,121.000000,48.000000,17.000000,17.000000,17.000000,17.000000
,"61110029",35,5,"2025-03-06 14:04:49","MTD 5mgl"," 20/19/15 ",11,"11A/11B/10C/10D/5E/8F",,,20,19,15,,807158,324209,28524,5764,2930,41,41,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295685,22760,5723,0,41,11,9,10,0,8,11,11,10,10,5,8,11,9,10,0,8,295685,22760,5723,0,41,,,,,,,,,,,,,,,,11,11,11,11,4,7.198971,123868.289062,80943.992188,55931.226562,37808.000000,27132.000000,20445.000000,15969.000000,12179.000000,9661.000000,7209.000000,6128.000000,4882.000000,4009.000000,3344.000000,2806.000000,2377.000000,1924.000000,1572.000000,1325.000000,1109.000000,954.000000,856.000000,406.000000,171.000000,144.000000,54.000000,21.000000,21.000000,21.000000,21.000000
,"61110029",36,5,"2025-03-06 14:05:18","MTD 5mgl"," 20/19/15 ",11,"11A/11B/10C/10D/5E/7F",,,20,19,15,,804142,321816,28828,6261,3264,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292988,22567,6234,0,27,11,9,10,0,7,11,11,10,10,5,7,11,9,10,0,7,292988,22567,6234,0,27,,,,,,,,,,,,,,,,11,11,11,11,5,7.185371,122523.781250,79447.593750,55647.597656,37570.000000,26897.000000,20266.000000,15934.000000,12061.000000,9627.000000,7162.000000,6089.000000,4873.000000,4006.000000,3319.000000,2802.000000,2383.000000,1950.000000,1611.000000,1360.000000,1164.000000,1015.000000,930.000000,437.000000,180.000000,153.000000,48.000000,20.000000,20.000000,20.000000,20.000000
,"61110029",38,5,"2025-03-06 14:07:06","MTD 5mgl"," 20/19/15 ",11,"10A/11B/10C/10D/00E/0F",,,20,19,15,,793891,318076,29313,6532,3300,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288763,22781,6532,0,0,11,9,10,0,0,10,11,10,10,-1,0,11,9,10,0,0,288763,22781,6532,0,0,,,,,,,,,,,,,,,,11,11,11,11,1,6.969319,117379.617188,76736.687500,53297.941406,35963.000000,25801.000000,19498.000000,15376.000000,11809.000000,9411.000000,7159.000000,6046.000000,4833.000000,3978.000000,3314.000000,2782.000000,2348.000000,1938.000000,1644.000000,1394.000000,1194.000000,1010.000000,917.000000,443.000000,181.000000,142.000000,49.000000,12.000000,12.000000,12.000000,12.000000
,"61110029",39,5,"2025-03-06 14:07:35","MTD 5mgl"," 20/19/15 ",11,"10A/11B/10C/10D/3E/6F",,,20,19,15,,794784,315464,29777,6278,3090,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285687,23499,6265,0,13,11,10,10,0,6,10,11,10,10,3,6,11,10,10,0,6,285687,23499,6265,0,13,,,,,,,,,,,,,,,,11,11,11,11,2,7.183305,120979.085938,79178.320312,54944.191406,37193.000000,26449.000000,19896.000000,15660.000000,11965.000000,9545.000000,7186.000000,6115.000000,4897.000000,4050.000000,3370.000000,2837.000000,2416.000000,2016.000000,1643.000000,1399.000000,1195.000000,1030.000000,927.000000,443.000000,176.000000,151.000000,56.000000,17.000000,17.000000,17.000000,17.000000
,"61110029",40,5,"2025-03-06 14:08:04","MTD 5mgl"," 20/19/15 ",11,"11A/11B/10C/10D/00E/0F",,,20,19,15,,808652,324849,28544,6156,3019,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296305,22388,6156,0,0,11,9,10,0,0,11,11,10,10,-1,0,11,9,10,0,0,296305,22388,6156,0,0,,,,,,,,,,,,,,,,11,11,11,11,3,7.130738,123009.046875,79860.429688,55529.710938,37500.000000,26998.000000,20467.000000,16236.000000,12347.000000,9799.000000,7349.000000,6208.000000,4956.000000,4044.000000,3349.000000,2802.000000,2346.000000,1937.000000,1626.000000,1360.000000,1169.000000,1010.000000,891.000000,426.000000,170.000000,139.000000,53.000000,23.000000,23.000000,23.000000,23.000000
,"61110029",41,5,"2025-03-06 14:08:33","MTD 5mgl"," 20/19/15 ",11,"11A/11B/10C/10D/6E/9F",,,20,19,15,,809427,322826,28651,6021,3115,69,69,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294175,22630,5952,0,69,11,9,10,0,9,11,11,10,10,6,9,11,9,10,0,9,294175,22630,5952,0,69,,,,,,,,,,,,,,,,11,11,11,11,4,7.190773,123690.460938,80395.242188,55983.628906,37875.000000,27063.000000,20391.000000,16016.000000,12205.000000,9745.000000,7339.000000,6173.000000,4982.000000,4075.000000,3364.000000,2836.000000,2401.000000,1949.000000,1647.000000,1395.000000,1200.000000,1041.000000,946.000000,425.000000,178.000000,145.000000,65.000000,30.000000,30.000000,30.000000,30.000000
,"61110029",42,5,"2025-03-06 14:09:03","MTD 5mgl"," 20/19/15 ",11,"11A/11B/10C/10D/5E/8F",,,20,19,15,,808088,322145,29315,6083,2889,41,41,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292830,23232,6042,0,41,11,10,10,0,8,11,11,10,10,5,8,11,10,10,0,8,292830,23232,6042,0,41,,,,,,,,,,,,,,,,11,11,11,11,5,7.199439,123050.531250,80230.000000,55998.535156,37550.000000,26916.000000,20377.000000,16055.000000,12296.000000,9704.000000,7368.000000,6262.000000,5047.000000,4188.000000,3436.000000,2897.000000,2445.000000,1968.000000,1640.000000,1366.000000,1164.000000,981.000000,885.000000,435.000000,168.000000,137.000000,45.000000,10.000000,10.000000,10.000000,10.000000
