,"Machine","TestNumber","Type","DateTime","TestRef","ISO_Code","NAS_Class","AS4059","RH","Temperature","ISO4","ISO6","ISO14","Volume","TotalCount4","TotalCount6","TotalCount14","TotalCount21","TotalCount25","TotalCount38","TotalCount50","TotalCount68","Stage1Count4","Stage1Count6","Stage1Count14","Stage1Count21","Stage1Count25","Stage1Count38","Stage1Count50","Stage1Count68","Stage2Count4","Stage2Count6","Stage2Count14","Stage2Count21","Stage2Count25","Stage2Count38","Stage2Count50","Stage2Count68","Stage3Count4","Stage3Count6","Stage3Count14","Stage3Count21","Stage3Count25","Stage3Count38","Stage3Count50","Stage3Count68","Customer","Fluid","TankVolume","WorkingHours","Viscosity","Contamination","SampleMethodID","SampleDate","AnalysisRequestedCounting","AnalysisRequestedWater","AnalysisRequestedFilterability","AnalysisRequestedMembrane","AnalysisRequestedPhotography","AnalysisRequestedViscosity","AnalysisRequestedTAN","ResultWater","ResultFilterability","ResultViscosity","ResultViscosityTemp","ResultTAN","MembraneSize","MembraneVolume","MembranePoreSize","ContaminationLightMetal","ContaminationDarkMetal","ContaminationYellowMetal","ContaminationSilica","ContaminationRubberPlastic","ContaminationFibre","ContaminationOther","FilterabilityVolume","FilterabilityTime","FilterabilityArea","FilterabilityIndex","CountingNotes","CountingFailureID","ReferenceID","NASStage1Count5_15","NASStage1Count15_25","NASStage1Count25_50","NASStage1Count50_100","NASStage1Count100","NASStage2Count5_15","NASStage2Count15_25","NASStage2Count25_50","NASStage2Count50_100","NASStage2Count100","NASStage3Count5_15","NASStage3Count15_25","NASStage3Count25_50","NASStage3Count50_100","NASStage3Count100","NASTotalCount5_15","NASTotalCount15_25","NASTotalCount25_50","NASTotalCount50_100","NASTotalCount100","NAS_CLASS_5_15","NAS_CLASS_15_25","NAS_CLASS_25_50","NAS_CLASS_50_100","NAS_CLASS_100","AS4059_A","AS4059_B","AS4059_C","AS4059_D","AS4059_E","AS4059_F","AS4059E1_CLASS_6_14","AS4059E1_CLASS_14_21","AS4059E1_CLASS_21_38","AS4059E1_CLASS_38_70","AS4059E1_CLASS_70","AS4059E1_TotalCount6_14","AS4059E1_TotalCount14_21","AS4059E1_TotalCount21_38","AS4059E1_TotalCount38_70","AS4059E1_TotalCount70","AS4059E1_Stage1Count6_14","AS4059E1_Stage1Count14_21","AS4059E1_Stage1Count21_38","AS4059E1_Stage1Count38_70","AS4059E1_Stage1Count70","AS4059E1_Stage2Count6_14","AS4059E1_Stage2Count14_21","AS4059E1_Stage2Count21_38","AS4059E1_Stage2Count38_70","AS4059E1_Stage2Count70","AS4059E1_Stage3Count6_14","AS4059E1_Stage3Count14_21","AS4059E1_Stage3Count21_38","AS4059E1_Stage3Count38_70","AS4059E1_Stage3Count70","AS4059E1_CLASS1","AS4059E1_CLASS2","AS4059E1_CLASS3","AS4059E1_CLASS","portion","scanned_volume_ml","count_4","count_5","count_6","count_7","count_8","count_9","count_10","count_11","count_12","count_13","count_14","count_15","count_16","count_17","count_18","count_19","count_20","count_21","count_22","count_23","count_24","count_25","count_26","count_27","count_28","count_29","count_30","count_38","count_50","count_70"
,"61110029",1,5,"2025-03-06 12:10:33","RM8632a 1mgl"," 22/21/19 ",15,"12A/15B/15C/10D/00E/0F",,,22,21,19,,2596413,1837363,329532,6542,1799,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1507831,322990,6542,0,0,15,15,10,0,0,12,15,15,10,-1,0,15,15,10,0,0,1507831,322990,6542,0,0,,,,,,,,,,,,,,,,15,15,15,15,1,3.500451,41460.273438,25940.210938,15904.000000,10271.000000,6203.000000,3953.000000,2583.000000,1514.000000,939.000000,525.000000,392.000000,267.000000,205.000000,160.000000,137.000000,116.000000,100.000000,80.000000,70.000000,63.000000,57.000000,52.000000,32.000000,14.000000,9.000000,4.000000,2.000000,2.000000,2.000000,2.000000
,"61110029",2,5,"2025-03-06 12:10:48","RM8632a 1mgl"," 22/21/19 ",15,"12A/15B/15C/10D/00E/0F",,,22,21,19,,2418615,1743181,331699,6429,1551,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1411482,325270,6429,0,0,15,15,10,0,0,12,15,15,10,-1,0,15,15,10,0,0,1411482,325270,6429,0,0,,,,,,,,,,,,,,,,15,15,15,15,2,3.608389,42138.625000,26642.144531,16428.000000,10769.000000,6567.000000,4148.000000,2714.000000,1558.000000,1015.000000,578.000000,419.000000,283.000000,206.000000,162.000000,134.000000,115.000000,93.000000,79.000000,67.000000,56.000000,52.000000,47.000000,25.000000,8.000000,7.000000,2.000000,1.000000,1.000000,1.000000,1.000000
,"61110029",5,5,"2025-03-06 12:11:31","RM8632a 1mgl"," 22/21/19 ",15,"12A/15B/15C/10D/5E/7F",,,22,21,19,,2448052,1768932,336736,6234,1517,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1432196,330502,6207,0,27,15,15,10,0,7,12,15,15,10,5,7,15,15,10,0,7,1432196,330502,6207,0,27,,,,,,,,,,,,,,,,15,15,15,15,5,3.623873,43099.964844,27300.052734,16903.000000,10882.000000,6559.000000,4090.000000,2665.000000,1564.000000,951.000000,532.000000,394.000000,276.000000,206.000000,159.000000,132.000000,114.000000,88.000000,69.000000,61.000000,55.000000,52.000000,50.000000,33.000000,18.000000,17.000000,7.000000,2.000000,2.000000,2.000000,2.000000
,"61110029",7,5,"2025-03-06 12:26:14","RM8632a 1mgl"," 22/21/19 ",15,"12A/15B/15C/10D/2E/5F",,,22,21,19,,2462899,1772479,332253,5908,1640,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440226,326345,5903,0,5,15,15,10,0,5,12,15,15,10,2,5,15,15,10,0,5,1440226,326345,5903,0,5,,,,,,,,,,,,,,,,15,15,15,15,1,18.109741,213801.437500,135110.625000,83453.000000,53777.000000,32608.000000,20503.000000,13215.000000,7866.000000,4929.000000,2745.000000,1951.000000,1315.000000,958.000000,760.000000,632.000000,534.000000,437.000000,380.000000,331.000000,299.000000,273.000000,249.000000,133.000000,68.000000,57.000000,24.000000,7.000000,7.000000,7.000000,7.000000
,"61110029",3,5,"2025-03-06 12:11:03","RM8632a 1mgl"," 22/21/19 ",15,"12A/15B/15C/10D/00E/0F",,,22,21,19,,2422786,1749058,334139,7030,1929,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1414919,327109,7030,0,0,15,15,10,0,0,12,15,15,10,-1,0,15,15,10,0,0,1414919,327109,7030,0,0,,,,,,,,,,,,,,,,15,15,15,15,3,3.627227,42238.757812,26858.523438,16611.000000,10846.000000,6569.000000,4093.000000,2710.000000,1614.000000,979.000000,572.000000,416.000000,299.000000,233.000000,190.000000,149.000000,132.000000,108.000000,88.000000,79.000000,70.000000,65.000000,61.000000,22.000000,13.000000,11.000000,4.000000,1.000000,1.000000,1.000000,1.000000
,"61110029",4,5,"2025-03-06 12:11:17","RM8632a 1mgl"," 22/21/19 ",15,"12A/15B/15C/10D/5E/7F",,,22,21,19,,2394448,1740816,330688,6272,1937,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410128,324416,6245,0,27,15,15,10,0,7,12,15,15,10,5,7,15,15,10,0,7,1410128,324416,6245,0,27,,,,,,,,,,,,,,,,15,15,15,15,4,3.665428,43040.457031,27332.111328,16797.000000,10814.000000,6469.000000,4062.000000,2658.000000,1562.000000,1015.000000,539.000000,405.000000,275.000000,200.000000,163.000000,127.000000,117.000000,100.000000,87.000000,84.000000,71.000000,63.000000,60.000000,31.000000,14.000000,13.000000,7.000000,4.000000,4.000000,4.000000,4.000000
,"61110029",26,5,"2025-03-06 13:10:08","RM8632a 1mgl"," 19/18/12 ",10,"10A/9B/7C/7D/5E/7F",,,19,18,12,,493492,148989,3833,1112,619,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145156,2721,1084,0,28,10,6,8,0,7,10,9,7,7,5,7,10,6,8,0,7,145156,2721,1084,0,28,,,,,,,,,,,,,,,,10,10,10,10,1,7.098285,84877.109375,54056.214844,33464.000000,21803.000000,13393.000000,8587.000000,5658.000000,3407.000000,2209.000000,1270.000000,987.000000,690.000000,523.000000,429.000000,359.000000,306.000000,262.000000,224.000000,191.000000,165.000000,148.000000,128.000000,79.000000,34.000000,29.000000,6.000000,2.000000,2.000000,2.000000,2.000000
,"61110029",27,5,"2025-03-06 13:10:37","RM8632a 1mgl"," 19/18/12 ",10,"10A/9B/6C/7D/3E/6F",,,19,18,12,,485020,140780,3037,892,466,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137743,2145,879,0,13,10,6,7,0,6,10,9,6,7,3,6,10,6,7,0,6,137743,2145,879,0,13,,,,,,,,,,,,,,,,10,10,10,10,2,7.286581,86108.046875,54842.109375,33774.000000,21779.000000,13121.000000,8274.000000,5382.000000,3147.000000,1968.000000,1087.000000,807.000000,575.000000,431.000000,346.000000,299.000000,257.000000,208.000000,174.000000,160.000000,136.000000,119.000000,109.000000,62.000000,27.000000,20.000000,8.000000,5.000000,5.000000,5.000000,5.000000
,"61110029",28,5,"2025-03-06 13:11:06","RM8632a 1mgl"," 19/18/12 ",10,"10A/9B/6C/7D/3E/6F",,,19,18,12,,480652,138406,2930,1035,621,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135476,1895,1022,0,13,10,6,8,0,6,10,9,6,7,3,6,10,6,8,0,6,135476,1895,1022,0,13,,,,,,,,,,,,,,,,10,10,10,10,3,7.246112,84543.695312,53812.148438,33208.000000,21241.000000,12786.000000,8046.000000,5210.000000,3098.000000,1895.000000,1042.000000,781.000000,546.000000,405.000000,319.000000,268.000000,237.000000,203.000000,177.000000,157.000000,134.000000,115.000000,107.000000,75.000000,35.000000,29.000000,12.000000,6.000000,6.000000,6.000000,6.000000
,"61110029",29,5,"2025-03-06 13:11:35","RM8632a 1mgl"," 19/18/12 ",10,"10A/9B/6C/7D/5E/7F",,,19,18,12,,473976,137633,2715,836,548,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134918,1879,809,0,27,10,6,7,0,7,10,9,6,7,5,7,10,6,7,0,7,134918,1879,809,0,27,,,,,,,,,,,,,,,,10,10,10,10,4,7.290202,84436.828125,53849.062500,32933.000000,21098.000000,12812.000000,8031.000000,5190.000000,3069.000000,1906.000000,1071.000000,768.000000,524.000000,401.000000,311.000000,264.000000,225.000000,189.000000,165.000000,145.000000,128.000000,113.000000,107.000000,60.000000,34.000000,31.000000,11.000000,3.000000,3.000000,3.000000,3.000000
