,Machine,TestNumber,Type,DateTime,TestRef,ISO_Code,NAS_Class,AS4059,RH,Temperature,ISO4,ISO6,ISO14,Volume,TotalCount4,TotalCount6,TotalCount14,TotalCount21,TotalCount25,TotalCount38,TotalCount50,TotalCount68,Stage1Count4,Stage1Count6,Stage1Count14,Stage1Count21,Stage1Count25,Stage1Count38,Stage1Count50,Stage1Count68,Stage2Count4,Stage2Count6,Stage2Count14,Stage2Count21,Stage2Count25,Stage2Count38,Stage2Count50,Stage2Count68,Stage3Count4,Stage3Count6,Stage3Count14,Stage3Count21,Stage3Count25,Stage3Count38,Stage3Count50,Stage3Count68,Customer,Fluid,TankVolume,WorkingHours,Viscosity,Contamination,SampleMethodID,SampleDate,AnalysisRequestedCounting,AnalysisRequestedWater,AnalysisRequestedFilterability,AnalysisRequestedMembrane,AnalysisRequestedPhotography,AnalysisRequestedViscosity,AnalysisRequestedTAN,ResultWater,ResultFilterability,ResultViscosity,ResultViscosityTemp,ResultTAN,MembraneSize,MembraneVolume,MembranePoreSize,ContaminationLightMetal,ContaminationDarkMetal,ContaminationYellowMetal,ContaminationSilica,ContaminationRubberPlastic,ContaminationFibre,ContaminationOther,FilterabilityVolume,FilterabilityTime,FilterabilityArea,FilterabilityIndex,CountingNotes,CountingFailureID,ReferenceID,NASStage1Count5_15,NASStage1Count15_25,NASStage1Count25_50,NASStage1Count50_100,NASStage1Count100,NASStage2Count5_15,NASStage2Count15_25,NASStage2Count25_50,NASStage2Count50_100,NASStage2Count100,NASStage3Count5_15,NASStage3Count15_25,NASStage3Count25_50,NASStage3Count50_100,NASStage3Count100,NASTotalCount5_15,NASTotalCount15_25,NASTotalCount25_50,NASTotalCount50_100,NASTotalCount100,NAS_CLASS_5_15,NAS_CLASS_15_25,NAS_CLASS_25_50,NAS_CLASS_50_100,NAS_CLASS_100,AS4059_A,AS4059_B,AS4059_C,AS4059_D,AS4059_E,AS4059_F,AS4059E1_CLASS_6_14,AS4059E1_CLASS_14_21,AS4059E1_CLASS_21_38,AS4059E1_CLASS_38_70,AS4059E1_CLASS_70,AS4059E1_TotalCount6_14,AS4059E1_TotalCount14_21,AS4059E1_TotalCount21_38,AS4059E1_TotalCount38_70,AS4059E1_TotalCount70,AS4059E1_Stage1Count6_14,AS4059E1_Stage1Count14_21,AS4059E1_Stage1Count21_38,AS4059E1_Stage1Count38_70,AS4059E1_Stage1Count70,AS4059E1_Stage2Count6_14,AS4059E1_Stage2Count14_21,AS4059E1_Stage2Count21_38,AS4059E1_Stage2Count38_70,AS4059E1_Stage2Count70,AS4059E1_Stage3Count6_14,AS4059E1_Stage3Count14_21,AS4059E1_Stage3Count21_38,AS4059E1_Stage3Count38_70,AS4059E1_Stage3Count70,AS4059E1_CLASS1,AS4059E1_CLASS2,AS4059E1_CLASS3,AS4059E1_CLASS
,61110029,2,5,2024-11-07 14:19:22,Reference Counter, 18/18/18 ,15,8A/10B/12C/15D/15E/15F,,,18,18,18,,158097,158097,158097,158097,158097,158097,158097,158097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,158097,0,0,0,0,15,8,10,12,15,15,15,0,0,0,0,15,0,0,0,0,158097,,,,,,,,,,,,,,,,0,0,0,15
,61110029,3,5,2024-11-07 14:20:48,Reference Counter, 18/18/18 ,15,8A/10B/12C/15D/15E/15F,,,18,18,18,,160005,160005,160005,160005,160005,160005,160005,160005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,160005,0,0,0,0,15,8,10,12,15,15,15,0,0,0,0,15,0,0,0,0,160005,,,,,,,,,,,,,,,,0,0,0,15
,61110029,4,5,2024-11-07 14:22:14,Reference Counter, 18/18/18 ,15,8A/10B/12C/15D/15E/15F,,,18,18,18,,157776,157776,157776,157776,157776,157776,157776,157776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,157776,0,0,0,0,15,8,10,12,15,15,15,0,0,0,0,15,0,0,0,0,157776,,,,,,,,,,,,,,,,0,0,0,15
,61110029,5,5,2024-11-07 14:23:40,Reference Counter, 18/18/18 ,15,8A/10B/12C/15D/15E/15F,,,18,18,18,,157545,157545,157545,157545,157545,157545,157545,157545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,157545,0,0,0,0,15,8,10,12,15,15,15,0,0,0,0,15,0,0,0,0,157545,,,,,,,,,,,,,,,,0,0,0,15
,61110029,6,5,2024-11-07 14:25:07,Reference Counter, 18/18/18 ,15,8A/10B/12C/15D/15E/15F,,,18,18,18,,157587,157587,157587,157587,157587,157587,157587,157587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,157587,0,0,0,0,15,8,10,12,15,15,15,0,0,0,0,15,0,0,0,0,157587,,,,,,,,,,,,,,,,0,0,0,15
,61110029,7,5,2024-11-07 14:26:33,Reference Counter, 18/18/18 ,15,8A/10B/12C/15D/15E/15F,,,18,18,18,,158262,158262,158262,158262,158262,158262,158262,158262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,158262,0,0,0,0,15,8,10,12,15,15,15,0,0,0,0,15,0,0,0,0,158262,,,,,,,,,,,,,,,,0,0,0,15
,61110029,8,5,2024-11-07 14:27:59,Reference Counter, 18/18/18 ,15,8A/10B/12C/15D/15E/15F,,,18,18,18,,157301,157301,157301,157301,157301,157301,157301,157301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,157301,0,0,0,0,15,8,10,12,15,15,15,0,0,0,0,15,0,0,0,0,157301,,,,,,,,,,,,,,,,0,0,0,15
,61110029,9,5,2024-11-07 14:29:24,Reference Counter, 18/18/18 ,15,8A/9B/12C/15D/15E/15F,,,18,18,18,,154485,154485,154485,154485,154485,154485,154485,154485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,154485,0,0,0,0,15,8,9,12,15,15,15,0,0,0,0,15,0,0,0,0,154485,,,,,,,,,,,,,,,,0,0,0,15
,61110029,10,5,2024-11-07 14:30:49,Reference Counter, 18/18/18 ,15,8A/9B/12C/15D/15E/15F,,,18,18,18,,154933,154933,154933,154933,154933,154933,154933,154933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,154933,0,0,0,0,15,8,9,12,15,15,15,0,0,0,0,15,0,0,0,0,154933,,,,,,,,,,,,,,,,0,0,0,15
,61110029,11,5,2024-11-07 14:32:15,Reference Counter, 18/18/18 ,15,8A/10B/12C/15D/15E/15F,,,18,18,18,,156362,156362,156362,156362,156362,156362,156362,156362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,156362,0,0,0,0,15,8,10,12,15,15,15,0,0,0,0,15,0,0,0,0,156362,,,,,,,,,,,,,,,,0,0,0,15
