,"Machine","TestNumber","Type","DateTime","TestRef","ISO_Code","NAS_Class","AS4059","RH","Temperature","ISO4","ISO6","ISO14","Volume","TotalCount4","TotalCount6","TotalCount14","TotalCount21","TotalCount25","TotalCount38","TotalCount50","TotalCount68","Stage1Count4","Stage1Count6","Stage1Count14","Stage1Count21","Stage1Count25","Stage1Count38","Stage1Count50","Stage1Count68","Stage2Count4","Stage2Count6","Stage2Count14","Stage2Count21","Stage2Count25","Stage2Count38","Stage2Count50","Stage2Count68","Stage3Count4","Stage3Count6","Stage3Count14","Stage3Count21","Stage3Count25","Stage3Count38","Stage3Count50","Stage3Count68","Customer","Fluid","TankVolume","WorkingHours","Viscosity","Contamination","SampleMethodID","SampleDate","AnalysisRequestedCounting","AnalysisRequestedWater","AnalysisRequestedFilterability","AnalysisRequestedMembrane","AnalysisRequestedPhotography","AnalysisRequestedViscosity","AnalysisRequestedTAN","ResultWater","ResultFilterability","ResultViscosity","ResultViscosityTemp","ResultTAN","MembraneSize","MembraneVolume","MembranePoreSize","ContaminationLightMetal","ContaminationDarkMetal","ContaminationYellowMetal","ContaminationSilica","ContaminationRubberPlastic","ContaminationFibre","ContaminationOther","FilterabilityVolume","FilterabilityTime","FilterabilityArea","FilterabilityIndex","CountingNotes","CountingFailureID","ReferenceID","NASStage1Count5_15","NASStage1Count15_25","NASStage1Count25_50","NASStage1Count50_100","NASStage1Count100","NASStage2Count5_15","NASStage2Count15_25","NASStage2Count25_50","NASStage2Count50_100","NASStage2Count100","NASStage3Count5_15","NASStage3Count15_25","NASStage3Count25_50","NASStage3Count50_100","NASStage3Count100","NASTotalCount5_15","NASTotalCount15_25","NASTotalCount25_50","NASTotalCount50_100","NASTotalCount100","NAS_CLASS_5_15","NAS_CLASS_15_25","NAS_CLASS_25_50","NAS_CLASS_50_100","NAS_CLASS_100","AS4059_A","AS4059_B","AS4059_C","AS4059_D","AS4059_E","AS4059_F","AS4059E1_CLASS_6_14","AS4059E1_CLASS_14_21","AS4059E1_CLASS_21_38","AS4059E1_CLASS_38_70","AS4059E1_CLASS_70","AS4059E1_TotalCount6_14","AS4059E1_TotalCount14_21","AS4059E1_TotalCount21_38","AS4059E1_TotalCount38_70","AS4059E1_TotalCount70","AS4059E1_Stage1Count6_14","AS4059E1_Stage1Count14_21","AS4059E1_Stage1Count21_38","AS4059E1_Stage1Count38_70","AS4059E1_Stage1Count70","AS4059E1_Stage2Count6_14","AS4059E1_Stage2Count14_21","AS4059E1_Stage2Count21_38","AS4059E1_Stage2Count38_70","AS4059E1_Stage2Count70","AS4059E1_Stage3Count6_14","AS4059E1_Stage3Count14_21","AS4059E1_Stage3Count21_38","AS4059E1_Stage3Count38_70","AS4059E1_Stage3Count70","AS4059E1_CLASS1","AS4059E1_CLASS2","AS4059E1_CLASS3","AS4059E1_CLASS"
,"61110029",7,5,"2025-01-15 14:17:33","CALIBRATED"," 20/19/16 ",11,"11A/11B/10C/10D/9E/0F",,,20,19,16,,845948,399425,42534,8518,3743,430,169,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356891,34016,8088,430,0,11,10,10,9,0,11,11,10,10,9,0,11,10,10,9,0,356891,34016,8088,430,0,,,,,,,,,,,,,,,,11,11,11,11
,"61110029",8,5,"2025-01-15 14:18:34","CALIBRATED"," 20/19/16 ",11,"11A/11B/10C/10D/9E/7F",,,20,19,16,,835413,397001,41902,8108,3720,508,130,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355099,33794,7600,482,26,11,10,10,9,7,11,11,10,10,9,7,11,10,10,9,7,355099,33794,7600,482,26,,,,,,,,,,,,,,,,11,11,11,11
,"61110029",9,5,"2025-01-15 14:19:36","CALIBRATED"," 20/19/16 ",11,"11A/11B/10C/10D/9E/9F",,,20,19,16,,848340,399380,43163,8266,3738,598,260,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356217,34897,7668,533,65,11,10,10,9,9,11,11,10,10,9,9,11,10,10,9,9,356217,34897,7668,533,65,,,,,,,,,,,,,,,,11,11,11,11
,"61110029",10,5,"2025-01-15 14:20:36","CALIBRATED"," 20/19/16 ",11,"11A/11B/10C/10D/9E/8F",,,20,19,16,,830302,390160,42244,8268,3478,495,208,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347916,33976,7773,456,39,11,10,10,9,8,11,11,10,10,9,8,11,10,10,9,8,347916,33976,7773,456,39,,,,,,,,,,,,,,,,11,11,11,11
,"61110029",11,5,"2025-01-15 14:21:37","CALIBRATED"," 20/19/16 ",11,"11A/11B/10C/10D/9E/9F",,,20,19,16,,835273,393580,41978,8232,3776,586,286,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351602,33746,7646,508,78,11,10,10,9,9,11,11,10,10,9,9,11,10,10,9,9,351602,33746,7646,508,78,,,,,,,,,,,,,,,,11,11,11,11
,"61110029",12,5,"2025-01-15 14:22:37","CALIBRATED"," 20/19/16 ",11,"11A/11B/10C/10D/9E/9F",,,20,19,16,,823418,387700,42234,8085,3618,559,221,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345466,34149,7526,494,65,11,10,10,9,9,11,11,10,10,9,9,11,10,10,9,9,345466,34149,7526,494,65,,,,,,,,,,,,,,,,11,11,11,11
,"61110029",13,5,"2025-01-15 14:23:39","CALIBRATED"," 20/19/16 ",11,"11A/11B/10C/10D/9E/8F",,,20,19,16,,831874,387877,42142,8097,3418,520,208,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345735,34045,7577,481,39,11,10,10,9,8,11,11,10,10,9,8,11,10,10,9,8,345735,34045,7577,481,39,,,,,,,,,,,,,,,,11,11,11,11
,"61110029",14,5,"2025-01-15 14:24:41","CALIBRATED"," 20/19/16 ",11,"11A/11B/10C/10D/9E/6F",,,20,19,16,,833684,394699,42330,8301,3759,508,182,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352369,34029,7793,495,13,11,10,10,9,6,11,11,10,10,9,6,11,10,10,9,6,352369,34029,7793,495,13,,,,,,,,,,,,,,,,11,11,11,11
,"61110029",15,5,"2025-01-15 14:25:42","CALIBRATED"," 20/19/16 ",11,"11A/11B/10C/10D/9E/8F",,,20,19,16,,836359,395253,42475,8374,3685,455,182,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352778,34101,7919,416,39,11,10,10,9,8,11,11,10,10,9,8,11,10,10,9,8,352778,34101,7919,416,39,,,,,,,,,,,,,,,,11,11,11,11
,"61110029",16,5,"2025-01-15 14:26:44","CALIBRATED"," 20/19/16 ",11,"11A/11B/10C/10D/9E/8F",,,20,19,16,,845368,399198,42393,7956,3616,482,143,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356805,34437,7474,430,52,11,10,10,9,8,11,11,10,10,9,8,11,10,10,9,8,356805,34437,7474,430,52,,,,,,,,,,,,,,,,11,11,11,11
