,"Machine","TestNumber","Type","DateTime","TestRef","ISO_Code","NAS_Class","AS4059","RH","Temperature","ISO4","ISO6","ISO14","Volume","TotalCount4","TotalCount6","TotalCount14","TotalCount21","TotalCount25","TotalCount38","TotalCount50","TotalCount68","Stage1Count4","Stage1Count6","Stage1Count14","Stage1Count21","Stage1Count25","Stage1Count38","Stage1Count50","Stage1Count68","Stage2Count4","Stage2Count6","Stage2Count14","Stage2Count21","Stage2Count25","Stage2Count38","Stage2Count50","Stage2Count68","Stage3Count4","Stage3Count6","Stage3Count14","Stage3Count21","Stage3Count25","Stage3Count38","Stage3Count50","Stage3Count68","Customer","Fluid","TankVolume","WorkingHours","Viscosity","Contamination","SampleMethodID","SampleDate","AnalysisRequestedCounting","AnalysisRequestedWater","AnalysisRequestedFilterability","AnalysisRequestedMembrane","AnalysisRequestedPhotography","AnalysisRequestedViscosity","AnalysisRequestedTAN","ResultWater","ResultFilterability","ResultViscosity","ResultViscosityTemp","ResultTAN","MembraneSize","MembraneVolume","MembranePoreSize","ContaminationLightMetal","ContaminationDarkMetal","ContaminationYellowMetal","ContaminationSilica","ContaminationRubberPlastic","ContaminationFibre","ContaminationOther","FilterabilityVolume","FilterabilityTime","FilterabilityArea","FilterabilityIndex","CountingNotes","CountingFailureID","ReferenceID","NASStage1Count5_15","NASStage1Count15_25","NASStage1Count25_50","NASStage1Count50_100","NASStage1Count100","NASStage2Count5_15","NASStage2Count15_25","NASStage2Count25_50","NASStage2Count50_100","NASStage2Count100","NASStage3Count5_15","NASStage3Count15_25","NASStage3Count25_50","NASStage3Count50_100","NASStage3Count100","NASTotalCount5_15","NASTotalCount15_25","NASTotalCount25_50","NASTotalCount50_100","NASTotalCount100","NAS_CLASS_5_15","NAS_CLASS_15_25","NAS_CLASS_25_50","NAS_CLASS_50_100","NAS_CLASS_100","AS4059_A","AS4059_B","AS4059_C","AS4059_D","AS4059_E","AS4059_F","AS4059E1_CLASS_6_14","AS4059E1_CLASS_14_21","AS4059E1_CLASS_21_38","AS4059E1_CLASS_38_70","AS4059E1_CLASS_70","AS4059E1_TotalCount6_14","AS4059E1_TotalCount14_21","AS4059E1_TotalCount21_38","AS4059E1_TotalCount38_70","AS4059E1_TotalCount70","AS4059E1_Stage1Count6_14","AS4059E1_Stage1Count14_21","AS4059E1_Stage1Count21_38","AS4059E1_Stage1Count38_70","AS4059E1_Stage1Count70","AS4059E1_Stage2Count6_14","AS4059E1_Stage2Count14_21","AS4059E1_Stage2Count21_38","AS4059E1_Stage2Count38_70","AS4059E1_Stage2Count70","AS4059E1_Stage3Count6_14","AS4059E1_Stage3Count14_21","AS4059E1_Stage3Count21_38","AS4059E1_Stage3Count38_70","AS4059E1_Stage3Count70","AS4059E1_CLASS1","AS4059E1_CLASS2","AS4059E1_CLASS3","AS4059E1_CLASS","portion","scanned_volume_ml","count_4","count_5","count_6","count_7","count_8","count_9","count_10","count_11","count_12","count_13","count_14","count_15","count_16","count_17","count_18","count_19","count_20","count_21","count_22","count_23","count_24","count_25","count_26","count_27","count_28","count_29","count_30","count_38","count_50","count_70"
,"1117100001",80,5,"2026-06-29 13:54:12","00001 5.6mg"," 19/18/16 ",10,"9A/10B/10C/10D/8E/10F",,,19,18,16,,283512,203444,44052,6104,1989,292,236,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159392,37948,5812,124,168,10,10,10,7,10,9,10,10,10,8,10,10,10,10,7,10,159392,37948,5812,124,168,,,,,,,,,,,,,,,,10,10,10,10,2,8.897288,2835.126465,2404.644531,2034.440063,1718.442383,1444.254272,1215.644165,1018.370117,837.747009,685.999878,550.553345,440.524170,341.628021,263.272980,200.624664,150.377029,111.311226,84.442833,61.043041,46.667557,35.516464,26.524946,19.893707,13.712045,10.565018,6.518840,5.282508,3.821389,2.922239,2.360270,1.685907
,"1117100001",81,5,"2026-06-29 13:54:41","00001 5.6mg"," 18/18/16 ",10,"9A/10B/10C/10D/8E/10F",,,18,18,16,,248002,177997,39375,5680,1851,248,169,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138622,33695,5432,113,135,10,10,10,7,10,9,10,10,10,8,10,10,10,10,7,10,138622,33695,5432,113,135,,,,,,,,,,,,,,,,10,10,10,10,3,8.855449,2480.025879,2093.695557,1779.978271,1508.437134,1272.147827,1073.411987,898.058105,742.281555,606.521851,492.521393,393.753998,306.433746,236.189301,178.025604,132.167267,98.119667,74.066620,56.807865,43.137329,32.438213,24.165922,18.519676,13.889755,10.727859,6.662565,5.307467,3.387745,2.484346,1.693872,1.355098
,"1117100001",79,5,"2026-06-29 13:53:42","00001 5.6mg"," 19/18/16 ",11,"9A/10B/10C/10D/9E/11F",,,19,18,16,,273720,195837,42162,6037,1940,466,365,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153675,36125,5571,164,302,10,10,10,7,11,9,10,10,10,9,11,10,10,10,7,11,153675,36125,5571,164,302,,,,,,,,,,,,,,,,10,10,10,11,1,7.937293,2737.208496,2307.707031,1958.378906,1674.555298,1405.238281,1187.893433,990.092834,817.301392,672.490112,538.026184,421.620178,327.633057,248.061264,188.017059,139.945709,104.615791,80.625458,60.370155,45.607544,34.268635,24.502348,19.402084,14.740543,11.298893,8.315177,6.677340,5.291477,4.661539,3.653639,3.023701
,"1117100001",82,5,"2026-06-29 13:55:10","00001 5.6mg"," 18/18/16 ",10,"9A/10B/10C/10D/8E/9F",,,18,18,16,,235652,169625,36382,5113,1849,246,145,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133243,31269,4867,146,100,10,10,10,7,9,9,10,10,10,8,9,10,10,10,7,9,133243,31269,4867,146,100,,,,,,,,,,,,,,,,10,10,10,10,4,8.920387,2356.526123,1994.316162,1696.251709,1441.949585,1212.005737,1016.571777,858.466675,710.850037,579.009521,460.008362,363.826904,279.726196,212.191223,163.893890,124.607986,92.525688,70.730934,51.131985,38.675480,28.979643,22.363842,18.496960,14.797565,11.770791,8.519810,5.941446,3.699391,2.466261,1.457336,1.008925
,"1117100001",83,5,"2026-06-29 13:55:39","00001 5.6mg"," 19/18/16 ",10,"9A/10B/10C/10D/8E/10F",,,19,18,16,,329255,236722,52469,7121,2193,269,168,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184253,45348,6852,135,134,10,10,10,7,10,9,10,10,10,8,10,10,10,10,7,10,184253,45348,6852,135,134,,,,,,,,,,,,,,,,10,10,10,10,5,8.891424,3292.554932,2787.665039,2367.220947,2009.527344,1705.263184,1438.735596,1205.291260,1000.660278,816.635620,659.369263,524.690674,404.337158,310.523315,237.703613,177.608780,128.142761,96.941742,71.218590,52.771626,39.476280,29.354141,21.931250,15.408107,10.909390,7.310415,5.061057,3.823909,2.699230,1.687019,1.349615
,"1117100001",85,5,"2026-06-29 13:58:32","00001 PSTAN B1"," 21/21/19 ",15,"11A/12B/15C/15D/11E/15F",,,21,21,19,,1460888,1096277,275580,46033,15927,2164,1572,1035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820697,229547,43869,1129,1035,12,15,15,10,15,11,12,15,15,11,15,12,15,15,10,15,820697,229547,43869,1129,1035,,,,,,,,,,,,,,,,15,15,15,15,1,7.439352,14608.880859,12631.854492,10962.779297,9498.513672,8179.571289,7004.010254,5954.398438,5009.279785,4176.495117,3425.600830,2755.800293,2195.980469,1714.374512,1318.277832,1013.214172,776.488708,595.610474,460.330261,357.712280,274.617828,211.647507,159.278412,119.635071,90.230942,69.898766,47.988113,33.470680,21.641678,15.727180,10.350366
,"1117100001",86,5,"2026-06-29 13:59:01","00001 PSTAN B1"," 21/21/19 ",15,"11A/12B/15C/15D/11E/12F",,,21,21,19,,1472609,1097163,281750,45492,15963,2157,1414,934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815413,236258,43335,1223,934,12,15,15,10,12,11,12,15,15,11,12,12,15,15,10,12,815413,236258,43335,1223,934,,,,,,,,,,,,,,,,15,15,15,15,2,8.344234,14726.092773,12706.499023,10971.637695,9472.524414,8207.513672,7082.712402,6046.755371,5107.720215,4255.789551,3502.971680,2817.508545,2229.162842,1753.392212,1347.809570,1031.545288,775.917786,600.244080,454.927002,349.592743,270.118256,207.611969,159.633545,118.844292,87.141800,64.595665,45.480419,31.194050,21.571789,14.141504,9.347773
,"1117100001",87,5,"2026-06-29 13:59:30","00001 PSTAN B1"," 21/21/19 ",15,"11A/12B/15C/15D/11E/12F",,,21,21,19,,1473409,1103637,281856,45363,15683,2195,1526,884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,821781,236493,43168,1311,884,12,15,15,10,12,11,12,15,15,11,12,12,15,15,10,12,821781,236493,43168,1311,884,,,,,,,,,,,,,,,,15,15,15,15,3,8.288337,14734.098633,12753.344727,11036.374023,9550.818359,8228.406250,7076.965332,6030.920410,5082.786621,4236.383789,3485.793945,2818.569092,2238.849609,1746.532593,1346.600586,1021.268860,777.731018,592.173584,453.633453,348.333405,267.844055,205.532318,156.838364,117.675728,87.472694,61.956524,43.917183,31.610703,21.958572,15.261853,8.841078
,"1117100001",91,5,"2026-06-29 14:02:47","00001 PSTAN B2"," 21/21/19 ",15,"11A/12B/15C/15D/11E/15F",,,21,21,19,,1464504,1096609,283075,47197,16906,2944,2361,1855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,813534,235878,44253,1089,1855,12,15,15,10,15,11,12,15,15,11,15,12,15,15,10,15,813534,235878,44253,1089,1855,,,,,,,,,,,,,,,,15,15,15,15,1,7.438483,14645.048828,12657.485352,10966.097656,9486.313477,8180.510254,7036.151855,6020.699219,5084.969727,4251.821777,3493.687744,2830.759521,2256.698730,1777.640503,1370.963013,1056.860596,814.771667,619.956116,471.972412,362.795074,280.229523,217.241348,169.061523,129.876022,99.348785,73.267860,52.967880,39.389786,29.441502,23.619064,18.552174
,"1117100001",94,5,"2026-06-29 14:04:14","00001 PSTAN B2"," 21/21/19 ",15,"11A/12B/15C/15D/11E/15F",,,21,21,19,,1448966,1084117,277092,45537,15104,2369,1746,1232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,807025,231555,43168,1137,1232,12,15,15,10,15,11,12,15,15,11,15,12,15,15,10,15,807025,231555,43168,1137,1232,,,,,,,,,,,,,,,,15,15,15,15,4,8.357898,14489.667969,12517.118164,10841.176758,9376.346680,8092.849609,6946.054199,5929.773926,5007.694824,4167.183594,3425.878662,2770.923584,2203.502441,1722.620117,1324.257202,1012.069519,771.654907,594.374268,455.372345,350.685638,267.012573,198.715286,151.046692,113.076042,80.616486,59.745712,44.149906,33.740566,23.690176,17.468510,12.323675
