,"Machine","TestNumber","Type","DateTime","TestRef","ISO_Code","NAS_Class","AS4059","RH","Temperature","ISO4","ISO6","ISO14","Volume","TotalCount4","TotalCount6","TotalCount14","TotalCount21","TotalCount25","TotalCount38","TotalCount50","TotalCount68","Stage1Count4","Stage1Count6","Stage1Count14","Stage1Count21","Stage1Count25","Stage1Count38","Stage1Count50","Stage1Count68","Stage2Count4","Stage2Count6","Stage2Count14","Stage2Count21","Stage2Count25","Stage2Count38","Stage2Count50","Stage2Count68","Stage3Count4","Stage3Count6","Stage3Count14","Stage3Count21","Stage3Count25","Stage3Count38","Stage3Count50","Stage3Count68","Customer","Fluid","TankVolume","WorkingHours","Viscosity","Contamination","SampleMethodID","SampleDate","AnalysisRequestedCounting","AnalysisRequestedWater","AnalysisRequestedFilterability","AnalysisRequestedMembrane","AnalysisRequestedPhotography","AnalysisRequestedViscosity","AnalysisRequestedTAN","ResultWater","ResultFilterability","ResultViscosity","ResultViscosityTemp","ResultTAN","MembraneSize","MembraneVolume","MembranePoreSize","ContaminationLightMetal","ContaminationDarkMetal","ContaminationYellowMetal","ContaminationSilica","ContaminationRubberPlastic","ContaminationFibre","ContaminationOther","FilterabilityVolume","FilterabilityTime","FilterabilityArea","FilterabilityIndex","CountingNotes","CountingFailureID","ReferenceID","NASStage1Count5_15","NASStage1Count15_25","NASStage1Count25_50","NASStage1Count50_100","NASStage1Count100","NASStage2Count5_15","NASStage2Count15_25","NASStage2Count25_50","NASStage2Count50_100","NASStage2Count100","NASStage3Count5_15","NASStage3Count15_25","NASStage3Count25_50","NASStage3Count50_100","NASStage3Count100","NASTotalCount5_15","NASTotalCount15_25","NASTotalCount25_50","NASTotalCount50_100","NASTotalCount100","NAS_CLASS_5_15","NAS_CLASS_15_25","NAS_CLASS_25_50","NAS_CLASS_50_100","NAS_CLASS_100","AS4059_A","AS4059_B","AS4059_C","AS4059_D","AS4059_E","AS4059_F","AS4059E1_CLASS_6_14","AS4059E1_CLASS_14_21","AS4059E1_CLASS_21_38","AS4059E1_CLASS_38_70","AS4059E1_CLASS_70","AS4059E1_TotalCount6_14","AS4059E1_TotalCount14_21","AS4059E1_TotalCount21_38","AS4059E1_TotalCount38_70","AS4059E1_TotalCount70","AS4059E1_Stage1Count6_14","AS4059E1_Stage1Count14_21","AS4059E1_Stage1Count21_38","AS4059E1_Stage1Count38_70","AS4059E1_Stage1Count70","AS4059E1_Stage2Count6_14","AS4059E1_Stage2Count14_21","AS4059E1_Stage2Count21_38","AS4059E1_Stage2Count38_70","AS4059E1_Stage2Count70","AS4059E1_Stage3Count6_14","AS4059E1_Stage3Count14_21","AS4059E1_Stage3Count21_38","AS4059E1_Stage3Count38_70","AS4059E1_Stage3Count70","AS4059E1_CLASS1","AS4059E1_CLASS2","AS4059E1_CLASS3","AS4059E1_CLASS","portion","scanned_volume_ml","count_4","count_5","count_6","count_7","count_8","count_9","count_10","count_11","count_12","count_13","count_14","count_15","count_16","count_17","count_18","count_19","count_20","count_21","count_22","count_23","count_24","count_25","count_26","count_27","count_28","count_29","count_30","count_38","count_50","count_70"
,"61110029",19,5,"2025-04-22 14:07:20","LPA4-SH RM8632a 1mgl"," 19/18/11 ",10,"10A/9B/6C/7D/7E/6F",,,19,18,11,,491782,130882,1811,715,522,204,35,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129071,1096,511,192,12,10,5,7,8,6,10,9,6,7,7,6,10,5,7,8,6,129071,1096,511,192,12,,,,,,,,,,,,,,,,10,10,10,10,1,10.072982,48877.000000,26018.000000,12920.000000,5796.000000,2749.000000,1386.000000,738.000000,458.000000,301.000000,225.000000,174.000000,147.000000,123.000000,106.000000,92.000000,86.000000,77.000000,67.000000,65.000000,57.000000,52.000000,48.000000,43.000000,37.000000,34.000000,30.000000,29.000000,14.000000,3.000000,1.000000
,"61110029",20,5,"2025-04-22 14:07:59","LPA4-SH RM8632a 1mgl"," 19/17/11 ",9,"10A/9B/5C/6D/7E/0F",,,19,17,11,,465547,119798,1583,530,369,132,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118215,1053,398,132,0,9,5,6,7,0,10,9,5,6,7,0,9,5,6,7,0,118215,1053,398,132,0,,,,,,,,,,,,,,,,9,9,9,9,2,10.332576,47462.000000,24630.000000,12131.000000,5486.000000,2522.000000,1184.000000,680.000000,402.000000,267.000000,197.000000,156.000000,119.000000,101.000000,84.000000,74.000000,65.000000,55.000000,51.000000,48.000000,46.000000,38.000000,35.000000,32.000000,27.000000,26.000000,25.000000,19.000000,9.000000,3.000000,0.000000
,"61110029",23,5,"2025-04-22 14:09:56","LPA4-SH RM8632a 1mgl"," 19/17/11 ",9,"10A/9B/5C/6D/7E/6F",,,19,17,11,,445417,115636,1312,558,367,154,69,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114324,754,404,142,12,9,5,6,7,6,10,9,5,6,7,6,9,5,6,7,6,114324,754,404,142,12,,,,,,,,,,,,,,,,9,9,9,9,5,10.389237,45658.000000,24024.000000,11773.000000,5297.000000,2398.000000,1139.000000,616.000000,368.000000,238.000000,164.000000,130.000000,113.000000,100.000000,86.000000,76.000000,66.000000,60.000000,54.000000,51.000000,42.000000,39.000000,35.000000,32.000000,29.000000,29.000000,27.000000,24.000000,12.000000,6.000000,1.000000
,"61110029",24,5,"2025-04-22 14:09:58","LPA4-SH RM8632a 1mgl"," 19/17/11 ",9,"10A/9B/5C/6D/7E/5F",,,19,17,11,,462444,120075,1448,554,385,133,39,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118627,894,421,126,7,9,5,6,7,5,10,9,5,6,7,5,9,5,6,7,5,118627,894,421,126,7,,,,,,,,,,,,,,,,9,9,9,9,0,51.556400,235241.000000,123608.000000,60668.000000,27316.000000,12578.000000,6045.000000,3266.000000,1927.000000,1253.000000,897.000000,712.000000,591.000000,498.000000,428.000000,377.000000,336.000000,296.000000,266.000000,248.000000,221.000000,198.000000,182.000000,166.000000,144.000000,131.000000,115.000000,102.000000,48.000000,17.000000,3.000000
,"61110029",27,5,"2025-04-22 14:13:11","LPA4-SH RM8632a 1mgl"," 19/17/11 ",9,"10A/9B/5C/6D/6E/6F",,,19,17,11,,456392,116780,1270,485,346,99,34,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115510,785,386,87,12,9,5,6,6,6,10,9,5,6,6,6,9,5,6,6,6,115510,785,386,87,12,,,,,,,,,,,,,,,,9,9,9,9,3,10.402061,46841.000000,24643.000000,11905.000000,5322.000000,2394.000000,1103.000000,558.000000,338.000000,214.000000,159.000000,126.000000,101.000000,88.000000,76.000000,67.000000,60.000000,56.000000,47.000000,45.000000,38.000000,35.000000,33.000000,32.000000,24.000000,20.000000,19.000000,17.000000,7.000000,3.000000,1.000000
,"61110029",28,5,"2025-04-22 14:13:49","LPA4-SH RM8632a 1mgl"," 19/17/11 ",9,"10A/9B/5C/6D/7E/6F",,,19,17,11,,446070,114835,1226,432,324,120,57,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113609,794,312,108,12,9,5,6,7,6,10,9,5,6,7,6,9,5,6,7,6,113609,794,312,108,12,,,,,,,,,,,,,,,,9,9,9,9,4,10.434304,45924.000000,24236.000000,11743.000000,5160.000000,2346.000000,1118.000000,588.000000,350.000000,224.000000,160.000000,122.000000,97.000000,86.000000,76.000000,66.000000,54.000000,52.000000,42.000000,41.000000,35.000000,33.000000,31.000000,29.000000,26.000000,24.000000,20.000000,16.000000,7.000000,5.000000,1.000000
,"61110029",31,5,"2025-04-22 14:25:55","LPA4-SH RM8632a 1mgl"," 19/17/11 ",9,"10A/9B/5C/6D/7E/0F",,,19,17,11,,466108,120575,1521,544,357,113,47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119054,977,431,113,0,9,5,6,7,0,10,9,5,6,7,0,9,5,6,7,0,119054,977,431,113,0,,,,,,,,,,,,,,,,9,9,9,9,1,10.065814,46292.000000,24304.000000,11894.000000,5341.000000,2413.000000,1182.000000,657.000000,381.000000,239.000000,185.000000,146.000000,126.000000,104.000000,89.000000,72.000000,61.000000,54.000000,51.000000,45.000000,41.000000,37.000000,33.000000,29.000000,28.000000,23.000000,21.000000,18.000000,9.000000,4.000000,0.000000
,"61110029",32,5,"2025-04-22 14:26:34","LPA4-SH RM8632a 1mgl"," 19/17/11 ",9,"10A/9B/5C/6D/7E/7F",,,19,17,11,,456648,115264,1235,394,231,110,34,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114029,841,284,85,25,9,5,6,6,7,10,9,5,6,7,7,9,5,6,6,7,114029,841,284,85,25,,,,,,,,,,,,,,,,9,9,9,9,2,10.354676,46654.000000,24005.000000,11697.000000,5075.000000,2264.000000,1101.000000,544.000000,310.000000,218.000000,156.000000,122.000000,101.000000,84.000000,69.000000,60.000000,48.000000,44.000000,38.000000,37.000000,31.000000,28.000000,22.000000,18.000000,15.000000,12.000000,11.000000,11.000000,9.000000,3.000000,2.000000
,"61110029",21,5,"2025-04-22 14:08:38","LPA4-SH RM8632a 1mgl"," 19/17/11 ",9,"10A/9B/5C/6D/6E/0F",,,19,17,11,,457686,118191,1295,549,368,77,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116896,746,472,77,0,9,5,6,6,0,10,9,5,6,6,0,9,5,6,6,0,116896,746,472,77,0,,,,,,,,,,,,,,,,9,9,9,9,3,10.361693,46792.000000,24456.000000,12002.000000,5401.000000,2468.000000,1178.000000,620.000000,356.000000,228.000000,156.000000,128.000000,106.000000,82.000000,74.000000,69.000000,62.000000,57.000000,53.000000,46.000000,43.000000,38.000000,35.000000,32.000000,27.000000,22.000000,15.000000,13.000000,4.000000,0.000000,0.000000
,"61110029",22,5,"2025-04-22 14:09:17","LPA4-SH RM8632a 1mgl"," 19/17/11 ",9,"10A/9B/5C/6D/6E/6F",,,19,17,11,,452698,116194,1249,423,304,99,57,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114945,826,324,87,12,9,5,6,6,6,10,9,5,6,6,6,9,5,6,6,6,114945,826,324,87,12,,,,,,,,,,,,,,,,9,9,9,9,4,10.399913,46453.000000,24480.000000,11842.000000,5335.000000,2441.000000,1158.000000,612.000000,343.000000,220.000000,155.000000,124.000000,106.000000,92.000000,78.000000,66.000000,57.000000,47.000000,41.000000,38.000000,33.000000,31.000000,29.000000,27.000000,24.000000,20.000000,18.000000,17.000000,9.000000,5.000000,1.000000
