,Machine,TestNumber,Type,DateTime,TestRef,ISO_Code,NAS_Class,AS4059,RH,Temperature,ISO4,ISO6,ISO14,Volume,TotalCount4,TotalCount6,TotalCount14,TotalCount21,TotalCount25,TotalCount38,TotalCount50,TotalCount68,Stage1Count4,Stage1Count6,Stage1Count14,Stage1Count21,Stage1Count25,Stage1Count38,Stage1Count50,Stage1Count68,Stage2Count4,Stage2Count6,Stage2Count14,Stage2Count21,Stage2Count25,Stage2Count38,Stage2Count50,Stage2Count68,Stage3Count4,Stage3Count6,Stage3Count14,Stage3Count21,Stage3Count25,Stage3Count38,Stage3Count50,Stage3Count68,Customer,Fluid,TankVolume,WorkingHours,Viscosity,Contamination,SampleMethodID,SampleDate,AnalysisRequestedCounting,AnalysisRequestedWater,AnalysisRequestedFilterability,AnalysisRequestedMembrane,AnalysisRequestedPhotography,AnalysisRequestedViscosity,AnalysisRequestedTAN,ResultWater,ResultFilterability,ResultViscosity,ResultViscosityTemp,ResultTAN,MembraneSize,MembraneVolume,MembranePoreSize,ContaminationLightMetal,ContaminationDarkMetal,ContaminationYellowMetal,ContaminationSilica,ContaminationRubberPlastic,ContaminationFibre,ContaminationOther,FilterabilityVolume,FilterabilityTime,FilterabilityArea,FilterabilityIndex,CountingNotes,CountingFailureID,ReferenceID,NASStage1Count5_15,NASStage1Count15_25,NASStage1Count25_50,NASStage1Count50_100,NASStage1Count100,NASStage2Count5_15,NASStage2Count15_25,NASStage2Count25_50,NASStage2Count50_100,NASStage2Count100,NASStage3Count5_15,NASStage3Count15_25,NASStage3Count25_50,NASStage3Count50_100,NASStage3Count100,NASTotalCount5_15,NASTotalCount15_25,NASTotalCount25_50,NASTotalCount50_100,NASTotalCount100,NAS_CLASS_5_15,NAS_CLASS_15_25,NAS_CLASS_25_50,NAS_CLASS_50_100,NAS_CLASS_100,AS4059_A,AS4059_B,AS4059_C,AS4059_D,AS4059_E,AS4059_F,AS4059E1_CLASS_6_14,AS4059E1_CLASS_14_21,AS4059E1_CLASS_21_38,AS4059E1_CLASS_38_70,AS4059E1_CLASS_70,AS4059E1_TotalCount6_14,AS4059E1_TotalCount14_21,AS4059E1_TotalCount21_38,AS4059E1_TotalCount38_70,AS4059E1_TotalCount70,AS4059E1_Stage1Count6_14,AS4059E1_Stage1Count14_21,AS4059E1_Stage1Count21_38,AS4059E1_Stage1Count38_70,AS4059E1_Stage1Count70,AS4059E1_Stage2Count6_14,AS4059E1_Stage2Count14_21,AS4059E1_Stage2Count21_38,AS4059E1_Stage2Count38_70,AS4059E1_Stage2Count70,AS4059E1_Stage3Count6_14,AS4059E1_Stage3Count14_21,AS4059E1_Stage3Count21_38,AS4059E1_Stage3Count38_70,AS4059E1_Stage3Count70,AS4059E1_CLASS1,AS4059E1_CLASS2,AS4059E1_CLASS3,AS4059E1_CLASS,portion,scanned_volume_ml,count_4,count_5,count_6,count_7,count_8,count_9,count_10,count_11,count_12,count_13,count_14,count_15,count_16,count_17,count_18,count_19,count_20,count_21,count_22,count_23,count_24,count_25,count_26,count_27,count_28,count_29,count_30,count_38,count_50,count_70
,61110029,1,5,2025-04-22 13:05:54,LPA4-SH 5mg/l  MTD, 20/19/15 ,11,10A/10B/9C/10D/9E/8F,,,20,19,15,,753274,296341,27619,6037,3186,507,108,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268722,21582,5530,468,39,11,9,10,9,8,10,10,9,10,9,8,11,9,10,9,8,268722,21582,5530,468,39,,,,,,,,,,,,,,,,11,11,11,11,1,9.928916,73795,45743,28835,18541,12703,9175,6896,5320,4143,3248,2614,2059,1622,1251,1001,820,673,557,477,404,334,290,243,207,173,141,114,32,9,3
,61110029,2,5,2025-04-22 13:06:33,LPA4-SH 5mg/l  MTD, 20/19/15 ,11,10A/10B/10C/10D/9E/0F,,,20,19,15,,763649,301957,27909,5948,3155,686,141,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274048,21961,5262,686,0,11,9,10,9,0,10,10,10,10,9,0,11,9,10,9,0,274048,21961,5262,686,0,,,,,,,,,,,,,,,,11,11,11,11,2,10.176165,76674,47799,30113,19424,13392,9790,7326,5597,4332,3408,2708,2085,1647,1296,1012,820,678,563,490,415,357,294,249,200,171,152,134,40,12,0
,61110029,3,5,2025-04-22 13:07:13,LPA4-SH 5mg/l  MTD, 20/19/15 ,11,10A/10B/10C/10D/9E/8F,,,20,19,15,,758674,297746,28024,5846,3134,662,176,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269722,22178,5184,611,51,11,9,10,9,8,10,10,10,10,9,8,11,9,10,9,8,269722,22178,5184,611,51,,,,,,,,,,,,,,,,11,11,11,11,3,10.197311,76333,47413,29755,19284,13304,9657,7277,5627,4392,3412,2724,2139,1679,1304,1022,811,668,554,466,403,348,293,244,207,179,148,120,45,15,4
,61110029,4,5,2025-04-22 13:07:51,LPA4-SH 5mg/l  MTD, 20/19/15 ,11,10A/10B/9C/10D/9E/7F,,,20,19,15,,739181,288926,27152,6088,3412,629,82,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261774,21064,5459,604,25,11,9,10,9,7,10,10,9,10,9,7,11,9,10,9,7,261774,21064,5459,604,25,,,,,,,,,,,,,,,,11,11,11,11,4,10.190857,74325,46193,28855,18610,12872,9326,6983,5444,4245,3349,2638,2112,1670,1337,1060,857,684,577,491,426,367,319,274,229,190,157,131,38,7,2
,61110029,5,5,2025-04-22 13:08:29,LPA4-SH 5mg/l  MTD, 20/19/15 ,11,10A/10B/10C/10D/9E/8F,,,20,19,15,,738331,290996,27782,6192,3182,638,117,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263214,21590,5554,600,38,11,9,10,9,8,10,10,10,10,9,8,11,9,10,9,8,263214,21590,5554,600,38,,,,,,,,,,,,,,,,11,11,11,11,5,10.227644,74507,46261,29167,18914,13083,9559,7166,5546,4295,3421,2709,2113,1626,1280,1045,853,696,589,501,432,370,298,249,213,177,147,125,43,10,3
,61110029,6,5,2025-04-22 13:08:31,LPA4-SH 5mg/l  MTD, 20/19/15 ,11,10A/10B/9C/10D/9E/7F,,,20,19,15,,750596,295182,27698,6022,3214,625,125,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267484,21676,5397,595,30,11,9,10,9,7,10,10,9,10,9,7,11,9,10,9,7,267484,21676,5397,595,30,,,,,,,,,,,,,,,,11,11,11,11,0,50.720894,375633,233408,146725,94775,65354,47508,35649,27535,21407,16839,13393,10508,8243,6469,5139,4160,3398,2841,2425,2081,1775,1494,1258,1056,889,745,624,198,53,12
,61110029,7,5,2025-04-22 13:10:54,LPA4-SH 5mg/l  MTD, 20/19/15 ,11,10A/11B/10C/10D/9E/7F,,,20,19,15,,786212,312145,28824,6411,3357,752,73,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283321,22413,5659,726,26,11,9,10,10,7,10,11,10,10,9,7,11,9,10,10,7,283321,22413,5659,726,26,,,,,,,,,,,,,,,,11,11,11,11,1,9.845266,76373,47545,30117,19435,13479,9780,7335,5600,4315,3412,2705,2133,1659,1319,1062,844,701,587,498,427,354,303,257,220,182,149,118,43,6,2
,61110029,8,5,2025-04-22 13:11:32,LPA4-SH 5mg/l  MTD, 20/19/15 ,11,10A/10B/10C/10D/9E/7F,,,20,19,15,,772807,303777,29210,6521,3468,831,153,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274567,22689,5690,806,25,11,9,10,10,7,10,10,10,10,9,7,11,9,10,10,7,274567,22689,5690,806,25,,,,,,,,,,,,,,,,11,11,11,11,2,10.195086,77738,48369,30351,19606,13569,9908,7475,5774,4561,3600,2839,2241,1753,1369,1107,905,756,618,524,450,389,324,265,227,192,160,144,57,13,2
,61110029,9,5,2025-04-22 13:12:11,LPA4-SH 5mg/l  MTD, 20/19/15 ,11,10A/10B/10C/10D/9E/8F,,,20,19,15,,767885,299678,28068,5805,2599,482,117,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271610,22263,5323,431,51,11,9,10,9,8,10,10,10,10,9,8,11,9,10,9,8,271610,22263,5323,431,51,,,,,,,,,,,,,,,,11,11,11,11,3,10.196422,77253,48055,29945,19306,13302,9728,7291,5632,4388,3458,2728,2133,1652,1313,1032,816,671,551,444,367,299,243,195,170,140,115,94,30,10,4
,61110029,10,5,2025-04-22 13:12:50,LPA4-SH 5mg/l  MTD, 20/19/15 ,11,10A/10B/10C/10D/9E/8F,,,20,19,15,,772652,304919,28556,6446,3268,618,164,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276363,22110,5828,580,38,11,9,10,9,8,10,10,10,10,9,8,11,9,10,9,8,276363,22110,5828,580,38,,,,,,,,,,,,,,,,11,11,11,11,4,10.1865,77657,48311,30439,19522,13558,9861,7371,5698,4457,3455,2773,2187,1749,1403,1074,889,730,611,517,431,368,305,256,205,178,157,128,35,14,3
,61110029,11,5,2025-04-22 13:13:30,LPA4-SH 5mg/l  MTD, 20/19/15 ,11,10A/10B/9C/10D/9E/0F,,,20,19,15,,765059,299281,27541,5569,2775,515,117,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271740,21972,5054,515,0,11,9,10,9,0,10,10,9,10,9,0,11,9,10,9,0,271740,21972,5054,515,0,,,,,,,,,,,,,,,,11,11,11,11,5,10.226776,77198,47685,29995,19239,13345,9686,7322,5592,4325,3393,2685,2113,1638,1300,1006,811,630,530,427,363,310,260,211,177,156,124,111,33,10,0
,61110029,12,5,2025-04-22 13:13:32,LPA4-SH 5mg/l  MTD, 20/19/15 ,11,10A/10B/10C/10D/9E/7F,,,20,19,15,,772826,303900,28436,6148,3091,639,125,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275464,22288,5509,611,28,11,9,10,9,7,10,10,10,10,9,7,11,9,10,9,7,275464,22288,5509,611,28,,,,,,,,,,,,,,,,11,11,11,11,0,50.650051,386218,239965,150847,97107,67251,48964,36794,28297,22045,17319,13731,10807,8452,6704,5281,4267,3487,2896,2410,2038,1720,1436,1185,998,848,705,595,198,53,11
,61110029,13,5,2025-04-22 13:15:43,LPA4-SH 5mg/l  MTD, 20/19/15 ,11,10A/10B/9C/10D/9E/0F,,,20,19,15,,773921,303184,27459,5610,2969,577,133,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275725,21849,5033,577,0,11,9,10,9,0,10,10,9,10,9,0,11,9,10,9,0,275725,21849,5033,577,0,,,,,,,,,,,,,,,,11,11,11,11,1,9.920139,75750,46915,29475,18926,13172,9561,7154,5469,4204,3306,2597,2034,1563,1231,973,780,626,518,449,381,323,270,227,189,155,129,104,37,11,0
,61110029,14,5,2025-04-22 13:16:21,LPA4-SH 5mg/l  MTD, 20/19/15 ,11,10A/10B/9C/9D/8E/6F,,,20,19,15,,762732,299770,26271,4512,2313,292,82,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273499,21759,4220,280,12,11,9,10,8,6,10,10,9,9,8,6,11,9,10,8,6,273499,21759,4220,280,12,,,,,,,,,,,,,,,,11,11,11,11,2,10.185661,76654,47698,29923,19011,13112,9446,7061,5342,4191,3245,2551,1988,1524,1130,887,689,546,427,367,319,268,216,179,139,111,91,73,20,7,1
,61110029,15,5,2025-04-22 13:17:01,LPA4-SH 5mg/l  MTD, 20/19/15 ,11,10A/10B/9C/9D/7E/0F,,,20,19,15,,758007,294662,24860,4636,1991,202,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269802,20224,4434,202,0,11,9,10,8,0,10,10,9,9,7,0,11,9,10,8,0,269802,20224,4434,202,0,,,,,,,,,,,,,,,,11,11,11,11,3,10.190368,76214,47055,29427,18582,12738,9221,6856,5178,3934,3073,2415,1872,1435,1090,860,672,538,439,353,281,238,186,152,114,92,78,63,13,3,0
