,"Machine","TestNumber","Type","DateTime","TestRef","ISO_Code","NAS_Class","AS4059","RH","Temperature","ISO4","ISO6","ISO14","Volume","TotalCount4","TotalCount6","TotalCount14","TotalCount21","TotalCount25","TotalCount38","TotalCount50","TotalCount68","Stage1Count4","Stage1Count6","Stage1Count14","Stage1Count21","Stage1Count25","Stage1Count38","Stage1Count50","Stage1Count68","Stage2Count4","Stage2Count6","Stage2Count14","Stage2Count21","Stage2Count25","Stage2Count38","Stage2Count50","Stage2Count68","Stage3Count4","Stage3Count6","Stage3Count14","Stage3Count21","Stage3Count25","Stage3Count38","Stage3Count50","Stage3Count68","Customer","Fluid","TankVolume","WorkingHours","Viscosity","Contamination","SampleMethodID","SampleDate","AnalysisRequestedCounting","AnalysisRequestedWater","AnalysisRequestedFilterability","AnalysisRequestedMembrane","AnalysisRequestedPhotography","AnalysisRequestedViscosity","AnalysisRequestedTAN","ResultWater","ResultFilterability","ResultViscosity","ResultViscosityTemp","ResultTAN","MembraneSize","MembraneVolume","MembranePoreSize","ContaminationLightMetal","ContaminationDarkMetal","ContaminationYellowMetal","ContaminationSilica","ContaminationRubberPlastic","ContaminationFibre","ContaminationOther","FilterabilityVolume","FilterabilityTime","FilterabilityArea","FilterabilityIndex","CountingNotes","CountingFailureID","ReferenceID","NASStage1Count5_15","NASStage1Count15_25","NASStage1Count25_50","NASStage1Count50_100","NASStage1Count100","NASStage2Count5_15","NASStage2Count15_25","NASStage2Count25_50","NASStage2Count50_100","NASStage2Count100","NASStage3Count5_15","NASStage3Count15_25","NASStage3Count25_50","NASStage3Count50_100","NASStage3Count100","NASTotalCount5_15","NASTotalCount15_25","NASTotalCount25_50","NASTotalCount50_100","NASTotalCount100","NAS_CLASS_5_15","NAS_CLASS_15_25","NAS_CLASS_25_50","NAS_CLASS_50_100","NAS_CLASS_100","AS4059_A","AS4059_B","AS4059_C","AS4059_D","AS4059_E","AS4059_F","AS4059E1_CLASS_6_14","AS4059E1_CLASS_14_21","AS4059E1_CLASS_21_38","AS4059E1_CLASS_38_70","AS4059E1_CLASS_70","AS4059E1_TotalCount6_14","AS4059E1_TotalCount14_21","AS4059E1_TotalCount21_38","AS4059E1_TotalCount38_70","AS4059E1_TotalCount70","AS4059E1_Stage1Count6_14","AS4059E1_Stage1Count14_21","AS4059E1_Stage1Count21_38","AS4059E1_Stage1Count38_70","AS4059E1_Stage1Count70","AS4059E1_Stage2Count6_14","AS4059E1_Stage2Count14_21","AS4059E1_Stage2Count21_38","AS4059E1_Stage2Count38_70","AS4059E1_Stage2Count70","AS4059E1_Stage3Count6_14","AS4059E1_Stage3Count14_21","AS4059E1_Stage3Count21_38","AS4059E1_Stage3Count38_70","AS4059E1_Stage3Count70","AS4059E1_CLASS1","AS4059E1_CLASS2","AS4059E1_CLASS3","AS4059E1_CLASS","portion","scanned_volume_ml","count_4","count_5","count_6","count_7","count_8","count_9","count_10","count_11","count_12","count_13","count_14","count_15","count_16","count_17","count_18","count_19","count_20","count_21","count_22","count_23","count_24","count_25","count_26","count_27","count_28","count_29","count_30","count_38","count_50","count_70"
,"63010040",7,5,"2026-05-11 14:54:59","0040 1900p.ml 10.0um AnnexD"," 18/18/15 ",10,"9A/10B/9C/6D/4E/0F",,,18,18,15,,235880,213731,26437,392,254,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187294,26045,371,21,0,10,10,6,4,0,9,10,9,6,4,0,10,10,6,4,0,187294,26045,371,21,0,,,,,,,,,,,,,,,,10,10,10,10,3,9.418344,2358.801270,2201.130127,2137.212402,2104.934814,2076.373535,2048.130859,2020.525146,1986.124146,1936.009277,1186.514404,264.377686,51.919956,34.188602,28.348934,22.403090,14.015203,7.113778,3.928504,3.291449,2.972922,2.760570,2.548219,2.017340,1.167934,0.849406,0.849406,0.637055,0.212352,0.000000,0.000000
,"63010040",8,5,"2026-05-11 14:55:38","0040 1900p.ml 10.0um AnnexD"," 18/18/15 ",10,"9A/10B/10C/6D/5E/6F",,,18,18,15,,232167,209305,28029,571,285,31,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181276,27458,540,21,10,10,10,7,4,6,9,10,10,6,5,6,10,10,7,4,6,181276,27458,540,21,10,,,,,,,,,,,,,,,,10,10,10,10,4,9.443631,2321.670410,2154.256104,2093.156738,2057.471191,2025.174438,1999.972168,1973.393433,1939.719971,1890.268677,1186.725708,280.294739,55.487129,38.862171,32.085117,24.778605,17.048527,9.318449,5.718140,5.188682,4.553333,3.388527,2.859070,2.435504,1.800155,1.588372,1.270698,1.058915,0.317674,0.105891,0.105891
,"63010040",11,5,"2026-05-11 14:58:50","0040 1900p.ml 10.0um AnnexD"," 18/18/15 ",10,"9A/10B/9C/7D/7E/0F",,,18,18,15,,235592,212916,27488,716,369,111,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185428,26772,605,111,0,10,10,7,7,0,9,10,9,7,7,0,10,10,7,7,0,185428,26772,605,111,0,,,,,,,,,,,,,,,,10,10,10,10,1,8.934487,2355.927002,2192.962891,2129.165283,2093.572754,2065.367432,2034.811768,2007.389893,1974.483765,1921.207031,1185.182739,274.889862,58.649139,42.196041,35.032787,28.653015,21.153984,11.304510,7.163254,5.372440,4.477034,4.141256,3.693553,3.021998,2.574294,2.126591,2.126591,1.902739,1.119258,0.223852,0.000000
,"63010040",12,5,"2026-05-11 14:59:29","0040 1900p.ml 10.0um AnnexD"," 18/18/15 ",10,"9A/10B/9C/6D/5E/0F",,,18,18,15,,235092,212508,27438,584,265,31,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185070,26854,553,31,0,10,10,7,5,0,9,10,9,6,5,0,10,10,7,5,0,185070,26854,553,31,0,,,,,,,,,,,,,,,,10,10,10,10,2,9.413746,2350.923828,2185.633789,2124.977783,2089.072754,2060.497559,2035.321533,2009.508301,1976.471436,1926.225830,1171.053467,274.385986,53.113819,35.904942,30.487333,26.238226,17.527561,7.860845,5.842520,4.567789,4.355333,3.611740,2.655691,2.124553,1.593415,1.380959,1.274732,0.849821,0.318683,0.106228,0.000000
,"63010040",15,5,"2026-05-11 15:01:27","0040 1900p.ml 10.0um AnnexD"," 18/18/15 ",10,"9A/10B/9C/6D/5E/0F",,,18,18,15,,234234,211839,26799,477,191,31,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185040,26322,446,31,0,10,10,6,5,0,9,10,9,6,5,0,10,10,6,5,0,185040,26322,446,31,0,,,,,,,,,,,,,,,,10,10,10,10,5,9.421743,2342.347900,2181.655762,2118.503906,2083.796875,2051.425049,2028.393188,2001.752686,1965.029053,1911.641968,1148.407471,267.997101,54.023972,39.058590,32.265789,25.791405,16.557446,9.127822,4.776186,4.033224,3.077987,2.547299,1.910474,1.592062,1.273650,1.167512,1.167512,1.061375,0.318412,0.106137,0.000000
,"63010040",5,5,"2026-05-11 14:53:40","0040 1900p.ml 10.0um AnnexD"," 18/18/15 ",10,"9A/10B/9C/6D/00E/0F",,,18,18,15,,229503,207548,26177,572,213,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181371,25605,572,0,0,10,10,7,0,0,9,10,9,6,-1,0,10,10,7,0,0,181371,25605,572,0,0,,,,,,,,,,,,,,,,10,10,10,10,1,8.904439,2295.035156,2134.777832,2075.369385,2038.309204,2004.281250,1978.339111,1952.396973,1920.502808,1873.896851,1153.244995,261.779541,54.354912,37.172470,30.658865,24.819082,16.620924,8.984283,5.727480,4.267534,3.481410,2.807588,2.133767,1.684553,1.347642,1.010732,0.786125,0.673821,0.000000,0.000000,0.000000
,"63010040",6,5,"2026-05-11 14:54:20","0040 1900p.ml 10.0um AnnexD"," 18/18/15 ",10,"9A/10B/9C/6D/5E/0F",,,18,18,15,,230964,208776,26296,488,276,42,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182480,25808,446,42,0,10,10,6,5,0,9,10,9,6,5,0,10,10,6,5,0,182480,25808,446,42,0,,,,,,,,,,,,,,,,10,10,10,10,2,9.419638,2309.643066,2148.278076,2087.766113,2051.671387,2027.148071,1999.439941,1971.838013,1939.458862,1891.049438,1169.259399,262.961273,49.577278,32.273003,28.451200,22.400013,14.119439,7.112800,4.883415,3.927964,3.397158,3.397158,2.760191,1.910902,1.273934,0.955451,0.849290,0.636967,0.424645,0.212322,0.000000
,"63010040",9,5,"2026-05-11 14:56:18","0040 1900p.ml 10.0um AnnexD"," 18/18/15 ",10,"9A/10B/9C/6D/5E/0F",,,18,18,15,,232080,210858,25911,488,190,31,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184947,25423,457,31,0,10,10,6,5,0,9,10,9,6,5,0,10,10,6,5,0,184947,25423,457,31,0,,,,,,,,,,,,,,,,10,10,10,10,5,9.424316,2320.804932,2167.372070,2108.587891,2075.163818,2046.832764,2020.199585,1992.823608,1955.685669,1903.480225,1164.222412,259.116943,51.887051,36.819645,29.816486,23.980518,16.022383,8.064245,4.880991,4.244339,2.971038,2.228278,1.909953,1.803844,1.485519,1.379410,1.273302,1.167193,0.318325,0.106108,0.000000
,"63010040",13,5,"2026-05-11 15:00:08","0040 1900p.ml 10.0um AnnexD"," 18/18/15 ",10,"9A/10B/10C/6D/5E/0F",,,18,18,15,,232368,209816,27818,499,265,31,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181998,27319,468,31,0,10,10,6,5,0,9,10,10,6,5,0,10,10,6,5,0,181998,27319,468,31,0,,,,,,,,,,,,,,,,10,10,10,10,3,9.418212,2323.689453,2161.769043,2098.168945,2059.732910,2032.445190,2004.308228,1977.339233,1942.088379,1893.459229,1175.382324,278.184448,52.239216,35.675560,29.623457,23.677530,15.608058,8.069472,4.990332,4.353268,3.503850,3.185318,2.654432,2.017368,1.805014,1.486482,1.486482,1.274127,0.318532,0.000000,0.000000
,"63010040",14,5,"2026-05-11 15:00:48","0040 1900p.ml 10.0um AnnexD"," 18/18/15 ",10,"9A/10B/9C/6D/5E/0F",,,18,18,15,,230844,209135,25835,486,243,52,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183300,25349,434,52,0,10,10,6,6,0,9,10,9,6,5,0,10,10,6,6,0,183300,25349,434,52,0,,,,,,,,,,,,,,,,10,10,10,10,4,9.452256,2308.443604,2151.232422,2091.352539,2055.911377,2025.653931,2001.215332,1976.565186,1941.652832,1893.621948,1166.070801,258.351013,55.013321,37.239788,31.103685,25.179174,16.715586,8.780972,4.866563,3.808614,3.173846,2.856461,2.433281,1.692718,1.481128,1.269538,1.163743,1.163743,0.528974,0.105795,0.000000
