Machine,TestNumber,Type,DateTime,TestRef,ISO_Code,NAS_Class,AS4059,RH,Temperature,ISO4,ISO6,ISO14,Volume,TotalCount4,TotalCount6,TotalCount14,TotalCount21,TotalCount25,TotalCount38,TotalCount50,TotalCount68,Stage1Count4,Stage1Count6,Stage1Count14,Stage1Count21,Stage1Count25,Stage1Count38,Stage1Count50,Stage1Count68,Stage2Count4,Stage2Count6,Stage2Count14,Stage2Count21,Stage2Count25,Stage2Count38,Stage2Count50,Stage2Count68,Stage3Count4,Stage3Count6,Stage3Count14,Stage3Count21,Stage3Count25,Stage3Count38,Stage3Count50,Stage3Count68,Customer,Fluid,TankVolume,WorkingHours,Viscosity,Contamination,SampleMethodID,SampleDate,AnalysisRequestedCounting,AnalysisRequestedWater,AnalysisRequestedFilterability,AnalysisRequestedMembrane,AnalysisRequestedPhotography,AnalysisRequestedViscosity,AnalysisRequestedTAN,ResultWater,ResultFilterability,ResultViscosity,ResultViscosityTemp,ResultTAN,MembraneSize,MembraneVolume,MembranePoreSize,ContaminationLightMetal,ContaminationDarkMetal,ContaminationYellowMetal,ContaminationSilica,ContaminationRubberPlastic,ContaminationFibre,ContaminationOther,FilterabilityVolume,FilterabilityTime,FilterabilityArea,FilterabilityIndex,CountingNotes,CountingFailureID,ReferenceID,NASStage1Count5_15,NASStage1Count15_25,NASStage1Count25_50,NASStage1Count50_100,NASStage1Count100,NASStage2Count5_15,NASStage2Count15_25,NASStage2Count25_50,NASStage2Count50_100,NASStage2Count100,NASStage3Count5_15,NASStage3Count15_25,NASStage3Count25_50,NASStage3Count50_100,NASStage3Count100,NASTotalCount5_15,NASTotalCount15_25,NASTotalCount25_50,NASTotalCount50_100,NASTotalCount100,NAS_CLASS_5_15,NAS_CLASS_15_25,NAS_CLASS_25_50,NAS_CLASS_50_100,NAS_CLASS_100,AS4059_A,AS4059_B,AS4059_C,AS4059_D,AS4059_E,AS4059_F,AS4059E1_CLASS_6_14,AS4059E1_CLASS_14_21,AS4059E1_CLASS_21_38,AS4059E1_CLASS_38_70,AS4059E1_CLASS_70,AS4059E1_TotalCount6_14,AS4059E1_TotalCount14_21,AS4059E1_TotalCount21_38,AS4059E1_TotalCount38_70,AS4059E1_TotalCount70,AS4059E1_Stage1Count6_14,AS4059E1_Stage1Count14_21,AS4059E1_Stage1Count21_38,AS4059E1_Stage1Count38_70,AS4059E1_Stage1Count70,AS4059E1_Stage2Count6_14,AS4059E1_Stage2Count14_21,AS4059E1_Stage2Count21_38,AS4059E1_Stage2Count38_70,AS4059E1_Stage2Count70,AS4059E1_Stage3Count6_14,AS4059E1_Stage3Count14_21,AS4059E1_Stage3Count21_38,AS4059E1_Stage3Count38_70,AS4059E1_Stage3Count70,AS4059E1_CLASS1,AS4059E1_CLASS2,AS4059E1_CLASS3,AS4059E1_CLASS,portion,scanned_volume_ml,count_4,count_5,count_6,count_7,count_8,count_9,count_10,count_11,count_12,count_13,count_14,count_15,count_16,count_17,count_18,count_19,count_20,count_21,count_22,count_23,count_24,count_25,count_26,count_27,count_28,count_29,count_30,count_38,count_50,count_70
63010066,8,5,2026-06-11 13:30,37D B1, 20/19/17 ,15,11A/11B/12C/15D/11E/8F,,,20,19,17,,895158,436006,114954,39373,12636,1809,452,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321052,75581,37564,1756,53,11,11,15,11,8,11,11,12,15,11,8,11,11,15,11,8,321052,75581,37564,1756,53,,,,,,,,,,,,,,,,11,15,15,15,1,3.758887,5999.914062,3662.786377,2194.000488,1371.682617,870.73645,604.966309,455.187927,333.343353,250.606094,185.161194,153.502884,117.055923,89.654198,71.031662,59.592106,48.950661,36.712994,29.796053,24.741365,19.952715,16.228209,13.567846,6.916941,1.862253,1.862253,0,0,0,0,0
63010066,9,5,2026-06-11 13:31,37D B1, 20/19/17 ,15,11A/11B/12C/12D/11E/8F,,,20,19,17,,877601,426903,117380,38298,12646,1992,313,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309523,79082,36306,1948,44,11,11,15,11,8,11,11,12,12,11,8,11,11,15,11,8,309523,79082,36306,1948,44,,,,,,,,,,,,,,,,11,15,15,15,2,4.467519,5907.976562,3610.952637,2206.59375,1379.065063,878.115967,611.748901,457.97229,333.966095,249.80307,181.084839,149.971375,115.948013,90.654335,73.642662,59.540874,47.453629,35.81406,31.113464,26.189032,21.488436,17.683191,14.773299,5.595947,2.014541,1.119189,0.447676,0,0,0,0
63010066,10,5,2026-06-11 13:31,37D B1, 20/19/17 ,15,11A/11B/12C/12D/11E/7F,,,20,19,17,,882687,433336,116015,37022,12505,2091,337,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317321,78993,34931,2069,22,11,11,15,11,7,11,11,12,12,11,7,11,11,15,11,7,317321,78993,34931,2069,22,,,,,,,,,,,,,,,,11,15,15,15,3,4.445965,5930.095703,3648.476562,2243.157471,1380.80249,856.057068,591.997437,434.5513,318.715942,247.190414,177.239349,147.999359,115.610435,91.093826,73.324905,60.729218,51.057529,38.68676,30.364609,26.765841,22.042458,18.218765,15.969536,5.17323,1.124615,0.674769,0.224923,0.224923,0.224923,0.224923,0.224923
63010066,11,5,2026-06-11 13:31,37D B1, 20/19/17 ,15,11A/11B/12C/12D/10E/7F,,,20,19,17,,887046,432547,115456,35954,11389,1362,245,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317091,79502,34592,1340,22,11,11,15,10,7,11,11,12,12,10,7,11,11,15,10,7,317091,79502,34592,1340,22,,,,,,,,,,,,,,,,11,15,15,15,4,4.477893,5974.014648,3661.319824,2231.406494,1372.520386,857.546082,596.932495,431.676208,308.850586,239.398285,169.722672,140.244522,104.290115,76.375198,60.742847,47.790329,39.080875,28.808189,23.671846,18.758821,14.739074,12.7292,12.059242,3.12647,1.339916,0.893277,0,0,0,0,0
63010066,12,5,2026-06-11 13:32,37D B1, 20/19/17 ,15,11A/11B/12C/12D/10E/0F,,,20,19,17,,923503,447442,118013,36635,10995,1567,89,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329429,81378,35068,1567,0,11,11,15,11,0,11,11,12,12,10,0,11,11,15,11,0,329429,81378,35068,1567,0,,,,,,,,,,,,,,,,11,15,15,15,5,4.465604,6212.597656,3782.243164,2303.60791,1394.884155,857.890686,593.424805,444.060883,314.17923,241.176788,170.189743,135.032135,99.202713,73.898178,59.790348,49.265453,40.9799,29.111404,22.393389,19.03438,16.12324,12.540298,10.524893,3.359008,0.223934,0,0,0,0,0,0
63010066,14,5,2026-06-11 13:36,37D B1, 20/19/17 ,15,11A/11B/12C/15D/11E/8F,,,20,19,17,,923352,454780,123617,41268,12882,2271,507,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331163,82349,38997,2218,53,11,11,15,11,8,11,11,12,15,11,8,11,11,15,11,8,331163,82349,38997,2218,53,,,,,,,,,,,,,,,,11,15,15,15,1,3.741365,16201.83887,14109.02051,12113.49219,10382.30566,8833.672852,7492.18457,6296.097168,5226.701172,4308.587402,3471.192627,2738.037842,2120.081543,1621.065918,1236.179688,945.911316,713.108643,539.642578,412.41629,311.383636,238.682907,174.80249,128.829971,94.083298,66.553246,47.843494,34.746674,24.857235,18.175182,12.027695,7.751181
63010066,15,5,2026-06-11 13:37,37D B1, 20/19/17 ,15,11A/11B/12C/15D/11E/9F,,,20,19,17,,933402,460949,123662,40770,13575,2453,495,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337287,82892,38317,2363,90,11,11,15,11,9,11,11,12,15,11,9,11,11,15,11,9,337287,82892,38317,2363,90,,,,,,,,,,,,,,,,11,15,15,15,2,4.441919,16305.78906,14237.98926,12187.07422,10477.45313,8924.070312,7590.1875,6383.727051,5307.84082,4349.921387,3484.97998,2738.230713,2123.406494,1616.418335,1236.627563,942.610535,707.12677,534.903931,407.706635,312.477539,233.68277,176.950531,135.752121,99.056282,75.192719,56.732231,38.046616,26.565092,18.910744,14.633314,9.005116
63010066,16,5,2026-06-11 13:37,37D B1, 20/19/17 ,15,11A/11B/12C/12D/11E/7F,,,20,19,17,,939560,460890,121262,38430,12282,2284,429,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339628,82832,36146,2262,22,11,11,15,11,7,11,11,12,12,11,7,11,11,15,11,7,339628,82832,36146,2262,22,,,,,,,,,,,,,,,,11,15,15,15,3,4.421004,16465.26367,14345.83496,12255.8125,10526.34082,8989.8125,7601.213867,6319.60498,5277.307617,4355.797852,3470.252197,2743.494385,2138.201904,1621.577271,1212.620361,923.319641,691.01947,513.684204,384.301819,289.074585,214.204727,163.085114,122.822769,89.120026,65.14357,48.405293,35.96468,25.107418,17.416857,10.178682,7.011981
63010066,17,5,2026-06-11 13:37,37D B1, 20/19/17 ,15,11A/11B/12C/15D/10E/7F,,,20,19,17,,987920,478752,123470,39232,11972,1533,338,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355282,84238,37699,1511,22,11,11,15,11,7,11,11,12,15,10,7,11,11,15,11,7,355282,84238,37699,1511,22,,,,,,,,,,,,,,,,11,15,15,15,4,4.435072,17589.33984,15254.99316,13015.79688,11096.54981,9442.686523,7961.76416,6666.632812,5531.589355,4512.44043,3604.225342,2830.618896,2182.376953,1654.088013,1234.703613,929.635315,688.827515,513.858582,392.101837,295.598328,227.730209,166.175415,119.72747,86.357101,61.329327,39.683681,28.184433,18.263512,12.175674,8.342592,5.862362
63010066,18,5,2026-06-11 13:38,37D B1, 20/19/17 ,15,11A/11B/12C/12D/11E/7F,,,20,19,17,,930648,458801,122031,38057,12012,1728,224,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336770,83974,36329,1706,22,11,11,15,11,7,11,11,12,12,11,7,11,11,15,11,7,336770,83974,36329,1706,22,,,,,,,,,,,,,,,,11,15,15,15,5,4.453776,16323.45117,14219.61816,12194.5957,10434.29102,8893.800781,7526.421875,6348.769531,5275.074219,4339.687988,3491.868164,2769.784424,2148.289307,1626.260376,1220.312744,907.768982,671.564941,508.108124,380.575897,290.31543,218.017227,156.047348,120.12278,88.464256,64.439697,43.55854,28.964184,19.983042,12.798128,6.735857,2.918871
