source_file,product,model_name,serial_number,option_bits,x_option_bits,test_reference,led_level,threshold0,threshold1,threshold2,threshold3,threshold4,threshold5,threshold6,threshold7,effective_slit_width,effective_slit_height,channel_width,divergence_milliradians,channel_depth,calibration_led_level_initial,calibration_led_level_last,calibration_led_level_alarm,calibration_date_last,calibration_date_next,result_format,test_mode,wait_time_s,test_number,CycleCount,last_download,time_stamp,source_drive,continous_mode_confirm_target_n,flush_time_s,test_sequence,sample_portions,pump_target_flow_ml_min,pump_flow_emptying_ml_min,sample_volume_ml,pump_flush_volume_ml,pump_flow_flushing_ml_min,cml4_online_flush_ml,cml4_online_flush_ml_min,cml4_online_sample_ml,cml4_online_sample_ml_min,cml4_offline_flush_ml,cml4_offline_flush_ml_min,cml4_offline_sample_ml,cml4_offline_sample_ml_min,cml4_pump_leakage_ml_min,threshold32_0_value,threshold32_1_value,threshold32_2_value,threshold32_3_value,threshold32_4_value,threshold32_5_value,threshold32_6_value,threshold32_7_value,threshold32_8_value,threshold32_9_value,threshold32_10_value,threshold32_11_value,threshold32_12_value,threshold32_13_value,threshold32_14_value,threshold32_15_value,threshold32_16_value,threshold32_17_value,threshold32_18_value,threshold32_19_value,threshold32_20_value,threshold32_21_value,threshold32_22_value,threshold32_23_value,threshold32_24_value,threshold32_25_value,threshold32_26_value,threshold32_27_value,threshold32_28_value,threshold32_29_value,threshold32_30_value,threshold32_31_value,threshold32_0_sz,threshold32_1_sz,threshold32_2_sz,threshold32_3_sz,threshold32_4_sz,threshold32_5_sz,threshold32_6_sz,threshold32_7_sz,threshold32_8_sz,threshold32_9_sz,threshold32_10_sz,threshold32_11_sz,threshold32_12_sz,threshold32_13_sz,threshold32_14_sz,threshold32_15_sz,threshold32_16_sz,threshold32_17_sz,threshold32_18_sz,threshold32_19_sz,threshold32_20_sz,threshold32_21_sz,threshold32_22_sz,threshold32_23_sz,threshold32_24_sz,threshold32_25_sz,threshold32_26_sz,threshold32_27_sz,threshold32_28_sz,threshold32_29_sz,threshold32_30_sz,threshold32_31_sz,verification_count_1_0,verification_count_1_1,verification_count_1_2,verification_count_1_3,verification_count_1_4,verification_count_1_5,verification_count_1_6,verification_count_1_7,verification_count_2_0,verification_count_2_1,verification_count_2_2,verification_count_2_3,verification_count_2_4,verification_count_2_5,verification_count_2_6,verification_count_2_7,verification_count_3_0,verification_count_3_1,verification_count_3_2,verification_count_3_3,verification_count_3_4,verification_count_3_5,verification_count_3_6,verification_count_3_7,reference_count_0,reference_count_1,reference_count_2,reference_count_3,reference_count_4,reference_count_5,reference_count_6,reference_count_7,verification_count32_1_0,verification_count32_1_1,verification_count32_1_2,verification_count32_1_3,verification_count32_1_4,verification_count32_1_5,verification_count32_1_6,verification_count32_1_7,verification_count32_1_8,verification_count32_1_9,verification_count32_1_10,verification_count32_1_11,verification_count32_1_12,verification_count32_1_13,verification_count32_1_14,verification_count32_1_15,verification_count32_1_16,verification_count32_1_17,verification_count32_1_18,verification_count32_1_19,verification_count32_1_20,verification_count32_1_21,verification_count32_1_22,verification_count32_1_23,verification_count32_1_24,verification_count32_1_25,verification_count32_1_26,verification_count32_1_27,verification_count32_1_28,verification_count32_1_29,verification_count32_1_30,verification_count32_1_31,verification_count32_2_0,verification_count32_2_1,verification_count32_2_2,verification_count32_2_3,verification_count32_2_4,verification_count32_2_5,verification_count32_2_6,verification_count32_2_7,verification_count32_2_8,verification_count32_2_9,verification_count32_2_10,verification_count32_2_11,verification_count32_2_12,verification_count32_2_13,verification_count32_2_14,verification_count32_2_15,verification_count32_2_16,verification_count32_2_17,verification_count32_2_18,verification_count32_2_19,verification_count32_2_20,verification_count32_2_21,verification_count32_2_22,verification_count32_2_23,verification_count32_2_24,verification_count32_2_25,verification_count32_2_26,verification_count32_2_27,verification_count32_2_28,verification_count32_2_29,verification_count32_2_30,verification_count32_2_31,verification_count32_3_0,verification_count32_3_1,verification_count32_3_2,verification_count32_3_3,verification_count32_3_4,verification_count32_3_5,verification_count32_3_6,verification_count32_3_7,verification_count32_3_8,verification_count32_3_9,verification_count32_3_10,verification_count32_3_11,verification_count32_3_12,verification_count32_3_13,verification_count32_3_14,verification_count32_3_15,verification_count32_3_16,verification_count32_3_17,verification_count32_3_18,verification_count32_3_19,verification_count32_3_20,verification_count32_3_21,verification_count32_3_22,verification_count32_3_23,verification_count32_3_24,verification_count32_3_25,verification_count32_3_26,verification_count32_3_27,verification_count32_3_28,verification_count32_3_29,verification_count32_3_30,verification_count32_3_31,reference_count32_0,reference_count32_1,reference_count32_2,reference_count32_3,reference_count32_4,reference_count32_5,reference_count32_6,reference_count32_7,reference_count32_8,reference_count32_9,reference_count32_10,reference_count32_11,reference_count32_12,reference_count32_13,reference_count32_14,reference_count32_15,reference_count32_16,reference_count32_17,reference_count32_18,reference_count32_19,reference_count32_20,reference_count32_21,reference_count32_22,reference_count32_23,reference_count32_24,reference_count32_25,reference_count32_26,reference_count32_27,reference_count32_28,reference_count32_29,reference_count32_30,reference_count32_31,pump_current_sampling,pump_current_emptying,no_noise_threshold,date_,serial_number_,meas_init_level,calc_init_volume,desired_concentration,calc_qty_add,meas_qty_add,meas_final_level,calc_volume,calc_concentration,rig_param_volume_mult,rig_param_volume_constant,rig_param_identifier,rig_cleanliness_count
63010045-2026-05-20-LPA3 NAVAIR.csv,LPA3 NAVAIR,LPA3 NAVAIR,63010045,1072,0,LPA3 NAVAIR #63010045 CALIBRATE,12917,74,182,1006,2014,2926,7358,12254,27888,60,300,750,200,500,12373,104.4,50,1779281839,1810817839,1,0,0,8,0,2147483648,0,0,0,30,0,1,30,150,40,20,100,90,50,50,50,40,20,40,20,0,74,120,182,248,330,422,518,622,750,876,1006,1146,1278,1406,1534,1662,1838,2014,2266,2462,2698,2926,3150,3438,3790,4094,4430,7358,12254,27888,27888,27888,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,38,50,70,70,70,1113188,482390,37393,11715,5505,534,117,0,1117253,484082,37366,11638,5766,610,87,11,1127555,486548,38378,11674,5710,564,105,11,1.11E+06,480388,37717.8,11138.5,5496.74,460.139,88.4012,18.1336,11131.9,7262.51,4823.91,3384.39,2298.56,1578.51,1127.21,829.047,610.237,469.783,373.937,303.328,252.735,216.579,188.582,163.99,136.052,117.152,91.562,77.8864,65.2086,55.0546,46.6614,38.1508,29.7576,24.2404,20.6601,5.34112,1.17387,0,0,0,11172.5,7301.42,4840.82,3387.88,2302.56,1587.68,1135.65,838.304,609.708,474.439,373.661,301.276,252.764,216.395,185.482,162.78,137.029,116.381,94.4419,80.9502,68.2211,57.6624,49.0981,41.5896,33.3186,27.1594,22.7599,6.10059,0.879893,0.117319,0.117319,0.117319,11275.6,7350.37,4865.49,3395.28,2314.27,1598.41,1145.35,846.823,621.325,482.547,383.782,307.872,259.341,220.857,191.891,166.685,138.483,116.744,93.0665,79.3768,67.3322,57.109,49.1772,40.5991,31.551,26.2043,20.5639,5.64039,1.05757,0.117508,0.117508,0.117508,11100.4,7198.17,4803.88,3362.53,2300.47,1582.04,1129,822.29,608.223,473.445,377.178,306.185,254.187,213.931,183.194,157.739,134.211,111.385,92.6172,77.113,65.6209,54.9674,44.6313,36.5392,29.6484,24.5483,21.0803,4.60139,0.884012,0.181336,0.181336,0.181336,20,221,33,46162.6,63010045,0,0,16,0,0,0,0,16,-1,0,303,0
63010046-2026-05-21-LPA3 NAVAIR.csv,LPA3 NAVAIR,LPA3 NAVAIR,63010046,1072,0,LPA3 NAVAIR #63010046 CALIBRATE,13349,74,184,1040,2146,3132,9322,15106,23024,60,300,750,200,500,13641,97.86,50,1779356770,1810892770,1,0,0,7,0,2147483648,0,0,0,30,0,1,30,150,40,20,100,90,50,50,50,40,20,40,20,0,74,122,184,252,336,434,534,646,770,898,1040,1184,1326,1472,1610,1756,1928,2146,2368,2618,2838,3132,3520,3862,4270,4626,5072,9322,15106,23024,23024,23024,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,38,50,70,70,70,1351669,557606,43532,11816,5682,298,67,6,1362105,562183,44620,12932,6225,396,85,18,1363347,563341,44382,12303,5727,341,73,6,1.37E+06,561616,43836.5,12180,5782.61,358.648,67.5375,11.6444,13516.7,8456.25,5576.06,3893.09,2669.96,1818.75,1302.58,954.312,716.831,556.357,435.33,346.923,286.318,237.785,202.483,171.205,145.232,118.161,99.8088,82.1274,69.8113,56.8246,44.6305,37.0701,30.4243,24.5711,19.6325,2.98756,0.670676,0.0609706,0.0609706,0.0609706,13621.1,8533.55,5621.84,3923.75,2688.89,1843.04,1326.47,972.3,721.215,561.433,446.205,363.201,299.972,254.992,218.311,188.467,158.439,129.327,107.111,88.8625,76.1679,62.2526,48.5204,39.1215,30.8822,26.2437,21.2391,3.96708,0.854448,0.183096,0.183096,0.183096,13633.5,8535.97,5633.41,3923.99,2682.38,1837.71,1325.25,976.31,725.791,563.195,443.827,359.995,293.382,246.611,210.587,181.219,151.789,123.031,101.966,83.3436,71.4373,57.272,42.7403,34.4975,27.4759,22.5302,16.8519,3.41922,0.732691,0.0610575,0.0610575,0.0610575,13663,8559.47,5616.16,3899.92,2667.9,1841.35,1320.31,960.034,716.34,556.206,438.365,351.777,291.343,243.252,207.177,176.459,147.977,121.8,100.654,82.978,70.4952,57.8261,45.4132,36.6333,29.4836,24.4998,19.7722,3.58648,0.675375,0.116444,0.116444,0.116444,43,295,32,46163.4,63010046,0,0,16,0,0,0,0,16,-1,0,303,0
63010047-2026-05-18-LPA3 NAVAIR.csv,LPA3 NAVAIR,LPA3 NAVAIR,63010047,1072,0,LPA3 NAVAIR #63010047 CALIBRATE,11356,72,174,966,1924,2694,5586,13132,23590,60,300,750,200,500,11401,99.61,50,1779118242,1810654242,1,0,0,8,0,2147483648,0,4095,0,30,0,1,30,150,50,20,100,90,50,50,50,40,20,40,20,0,72,116,174,234,312,398,494,602,724,842,966,1092,1216,1346,1466,1600,1748,1924,2126,2318,2514,2694,2942,3166,3394,3586,3760,5586,13132,23590,23590,23590,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,38,50,70,70,70,2165740,781980,49376,16237,10109,4480,2446,813,2168771,783622,49086,16597,10183,4516,2578,629,2192538,791975,49236,16753,10257,4593,2552,790,2.14E+06,764305,48893.8,16294.5,10098.6,4576.24,2637.77,791.844,21657.4,12884.7,7819.81,5198.13,3350.99,2247.59,1559.52,1107.93,805.948,624.571,493.766,404.468,338.807,286.073,250.076,215.675,187.351,162.374,139.921,124.162,110.824,101.091,89.504,81.3673,75.136,70.9646,67.3083,44.8035,24.4617,8.13673,8.13673,8.13673,21687.7,12943.8,7836.22,5207.86,3359.72,2254.03,1549.69,1097.75,803.85,620.187,490.869,402.905,337.112,286.581,251.158,219.241,190.109,165.978,143.445,125.45,111.889,101.835,90.4396,82.8084,75.3835,71.4648,67.0305,45.1682,25.781,6.29055,6.29055,6.29055,21925.4,13046,7919.75,5267.28,3397.9,2285.83,1576.74,1107.93,806.093,620.318,492.369,403.383,340.958,290.936,254.814,224.067,195.387,167.533,144.176,127.536,113.635,102.577,91.4148,83.6117,76.8938,71.9329,68.1089,45.9399,25.5279,7.90642,7.90642,7.90642,21379.3,12509,7643.05,5061.94,3303.89,2202.92,1526.41,1084.93,792.616,614.913,488.938,398.185,334.117,283.676,248.3,216.369,188.192,162.945,141.298,124.947,111.527,100.986,89.7766,81.7554,75.7908,70.8032,66.7412,45.7624,26.3777,7.91844,7.91844,7.91844,24,317,33,46160.7,63010047,0,0,16,0,0,0,0,16,-1,0,303,0
63010048-2026-05-21-LPA3 NAVAIR.csv,LPA3 NAVAIR,LPA3 NAVAIR,63010048,1072,0,LPA3 NAVAIR #63010048 CALIBRATE,11891,72,170,978,2082,3022,8530,11880,19026,60,300,750,200,500,12051,98.67,50,1779373601,1810909601,1,0,0,7,0,2147483648,0,4095,0,30,0,1,30,150,50,20,100,90,50,50,50,40,20,40,20,0,72,114,170,230,306,394,486,598,724,852,978,1120,1276,1398,1516,1700,1886,2082,2252,2502,2788,3022,3314,3670,4148,4572,5054,8530,11880,19026,19026,19026,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,38,50,70,70,70,1016115,447389,35577,10107,5001,371,101,13,1018538,446506,35436,10024,4968,371,142,27,1019116,448199,35509,10146,4875,344,82,4,1.02E+06,444860,35250,10150,5060,400,130,20,10161.2,6704.25,4473.9,3139.15,2151.09,1481.29,1074.72,775.11,573.961,441.057,355.775,289.323,234.443,200.735,174.926,143.1,119.311,101.079,87.0724,72.6981,58.7371,50.0115,41.9748,33.7084,26.3605,21.6763,17.3134,3.71987,1.01033,0.137773,0.137773,0.137773,10185.4,6699.87,4465.07,3137.95,2142.14,1481.64,1063.36,757.533,563.753,436.923,354.36,283.92,230.47,197.821,172.657,142.167,119.253,100.242,88.5786,72.6905,58.8687,49.6848,41.5571,33.062,25.2557,19.6535,15.934,3.71947,1.4235,0.275517,0.275517,0.275517,10191.2,6697.19,4482,3144.95,2159.08,1482.36,1068.9,776.816,571.583,442.175,355.091,285.746,232.622,200.913,175.73,145.446,121.182,101.468,86.6704,69.7591,56.662,48.7578,41.4051,33.5009,26.7456,21.4608,17.187,3.44659,0.827183,0.0459546,0.0459546,0.0459546,10222.4,6648.9,4448.6,3127.4,2142.2,1483.5,1067.4,764.6,566.3,438.9,352.5,285.3,231.3,200.3,174.1,143.6,121.2,101.5,88.6,73,59.5,50.6,41.7,34,26.4,21.5,16.7,4,1.3,0.2,0.2,0.2,39,273,31,46163.6,63010048,0,0,16,0,0,0,0,16,-1,0,303,0
63010049-2026-05-20-LPA3 NAVAIR.csv,LPA3 NAVAIR,LPA3 NAVAIR,63010049,1072,0,LPA3 NAVAIR #63010049 CALIBRATE,12394,64,164,982,2072,2996,8818,14440,28990,60,300,750,200,500,12636,98.08,50,1779285451,1810821451,1,0,0,24,0,2147483648,0,4095,0,30,0,1,30,150,50,20,100,90,50,50,50,40,20,40,20,0,64,108,164,226,306,400,494,606,730,856,982,1122,1246,1382,1528,1668,1838,2072,2282,2518,2746,2996,3356,3654,4004,4336,4684,8818,14440,28990,28990,28990,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,38,50,70,70,70,1188324,502206,38101,10562,5342,392,89,4,1193614,503502,38089,11359,5835,359,33,9,1199000,505329,38422,11388,5930,453,47,0,1.18E+06,501618,38258.4,10950.3,5531.48,394.301,78.8601,10.962,11883.2,7489.48,5022.07,3528.98,2397.78,1635.46,1175.32,840.499,618.53,475.447,381.019,305.911,256.028,214.506,179.078,154.845,131.462,105.623,88.7123,72.9349,62.5899,53.4258,43.8365,36.5619,30.3738,25.5556,21.7293,3.92072,0.897515,0.0472376,0.0472376,0.0472376,11936.1,7527.96,5035.02,3533.84,2405.34,1631.78,1166.02,836.162,620.648,477.429,380.894,308.647,261.679,220.759,187.919,161.128,138.211,113.593,96.96,81.6505,68.0421,58.3556,45.8812,37.6594,31.6585,25.9411,21.3104,3.59111,0.33076,0.0945029,0.0945029,0.0945029,11990,7575.69,5053.29,3558.21,2418.1,1638.78,1184.15,849.351,626.783,481.239,384.226,309.989,262.215,224.364,190.483,164.682,140.204,113.883,96.3045,80.9468,69.6058,59.3043,47.4907,40.5443,34.4485,29.4395,24.2415,4.53643,0.472544,0,0,0,11813.2,7564.6,5016.18,3528.2,2407.15,1633.19,1169.05,840.311,619.052,479.132,382.584,309.808,260.464,220.696,186.786,160.762,135.639,109.503,92.6043,77.8462,66.0172,55.3148,44.1617,37.2896,30.3048,25.4606,21.0669,3.94301,0.788601,0.10962,0.10962,0.10962,18,252,34,46162.6,63010049,0,0,16,0,0,0,0,16,-1,0,303,0
63010050-2026-05-20-LPA3 NAVAIR.csv,LPA3 NAVAIR,LPA3 NAVAIR,63010050,1072,0,LPA3 NAVAIR #63010050 CALIBRATE,13852,74,180,1030,2164,3212,8818,13828,21504,60,300,750,200,500,14123,98.08,50,1779287251,1810823251,1,0,0,10,0,2147483648,0,0,0,30,0,1,30,150,40,20,100,90,50,50,50,40,20,40,20,0,74,120,180,244,326,418,516,636,762,894,1030,1170,1318,1486,1624,1782,1964,2164,2416,2640,2902,3212,3534,3918,4290,4626,4832,8818,13828,21504,21504,21504,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,38,50,70,70,70,1241182,517275,39847,11326,5102,481,96,12,1234843,511116,39558,11230,5247,409,48,12,1237749,516493,40623,11526,5038,385,66,18,1.22E+06,515433,39407.9,11030.1,5153.43,440.754,101.712,22.6027,12411.8,7893.06,5172.75,3597.09,2433.11,1683.02,1216.1,875.159,653.99,503.671,398.479,324.495,266.295,219.724,188.335,162.428,134.714,113.266,91.4561,77.5991,64.5856,51.0299,42.0529,33.6183,27.473,23.0749,20.906,4.81982,0.963964,0.120496,0.120496,0.120496,12348.4,7824.32,5111.16,3574.21,2421.8,1666.19,1198.19,859.542,641.75,495.47,395.581,322.02,263.821,214.479,186.524,158.148,134.351,112.3,91.756,76.9352,64.3437,52.475,43.9802,34.5215,27.2918,22.5926,19.761,4.09679,0.481975,0.120494,0.120494,0.120494,12377.5,7855.66,5164.94,3619.01,2455.79,1700.32,1236.53,885.13,664.164,511.094,406.239,331.781,270.144,217.716,186.356,158.667,134.169,115.269,93.1779,77.2871,61.9982,50.3811,41.9542,33.2262,26.6653,22.6926,21.0072,3.85232,0.662117,0.180577,0.180577,0.180577,12208,7808.34,5154.33,3578.24,2439.74,1677.8,1206.53,865.911,646.664,497.825,394.079,319.829,263.322,215.743,184.325,156.524,131.322,110.301,91.0891,76.6233,63.5137,51.5343,42.7192,34.6952,28.5925,24.298,21.3596,4.40754,1.01712,0.226027,0.226027,0.226027,26,284,46,46162.6,63010050,0,0,16,0,0,0,0,16,-1,0,303,0
63010051-2026-05-20-LPA3 NAVAIR.csv,LPA3 NAVAIR,LPA3 NAVAIR,63010051,1072,0,LPA3 NAVAIR #63010051 CALIBRATE,12920,78,186,1056,2204,3238,8174,12780,18446,60,300,750,200,500,13123,98.45,50,1779287269,1810823269,1,0,0,11,0,2147483648,0,0,0,30,0,1,30,150,40,20,100,90,50,50,50,40,20,40,20,0,78,124,186,254,336,432,530,650,780,914,1056,1198,1348,1516,1664,1822,2010,2204,2438,2672,2938,3238,3530,3876,4240,4558,4802,8174,12780,18446,18446,18446,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,38,50,70,70,70,1203122,511959,39597,11630,5386,625,172,41,1198586,509513,38877,11054,5190,529,77,17,1209719,516122,39779,11502,5408,476,89,35,1.22E+06,515433,39407.9,11030.1,5153.43,440.754,101.712,22.6027,12031.2,7770.98,5119.6,3534.55,2418.95,1664.35,1204.92,862.085,644.255,501.378,395.979,325.136,268.951,222.716,190.303,162.896,136.561,116.303,97.237,81.4479,66.5525,53.8617,44.0903,36.4043,30.1482,26.0967,23.058,6.25606,1.72786,0.41707,0.41707,0.41707,11985.9,7742.21,5095.14,3534.39,2420.69,1663.32,1210.37,867.435,636.29,489.971,388.774,314.662,260.016,212.811,181.618,156.081,130.841,110.543,89.827,74.5285,63.3373,51.908,44.348,35.4784,28.6327,24.8825,22.5014,5.29795,0.773858,0.178583,0.178583,0.178583,12097.2,7843.96,5161.22,3565.71,2439.88,1668.9,1201.77,866.528,645.771,500.426,397.791,323.273,264.956,219.863,187.161,159.641,135.039,115.025,94.474,79.1651,65.6433,54.0872,46.1648,37.8849,31.0942,26.5075,23.4696,4.7654,0.893512,0.357405,0.357405,0.357405,12208,7808.34,5154.33,3578.24,2439.74,1677.8,1206.53,865.911,646.664,497.825,394.079,319.829,263.322,215.743,184.325,156.524,131.322,110.301,91.0891,76.6233,63.5137,51.5343,42.7192,34.6952,28.5925,24.298,21.3596,4.40754,1.01712,0.226027,0.226027,0.226027,29,262,37,46162.6,63010051,0,0,16,0,0,0,0,16,-1,0,303,0
63010052-2026-05-20-LPA3 NAVAIR.csv,LPA3 NAVAIR,LPA3 NAVAIR,63010052,1072,0,LPA3 NAVAIR #63010052 CALIBRATE,9295,50,140,982,2144,3208,10692,16040,20590,60,300,750,200,500,9538,97.45,50,1779290762,1810826762,1,0,0,6,0,2147483648,0,0,0,30,0,1,30,150,40,20,100,90,50,50,50,40,20,40,20,0,50,86,140,206,294,392,494,610,732,852,982,1116,1262,1408,1562,1724,1912,2144,2394,2658,2908,3208,3634,4028,4522,4792,5324,10692,16040,20590,20590,20590,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,38,50,70,70,70,1366436,555856,42126,11267,5451,370,64,11,1393315,564566,41804,11633,5872,381,70,23,1403860,561172,40766,11240,5673,310,64,17,1.28E+06,528471,40866.8,11621.2,5776.63,373.782,101.941,33.9802,13664.4,8564.26,5558.57,3802.94,2549.7,1747.11,1247.89,895.351,671.058,525.837,421.269,343.783,281.688,234.339,194.567,164.196,137.877,112.675,94.6401,78.7787,66.6769,54.5165,43.9422,35.6589,28.3744,25.1434,19.915,3.70101,0.646208,0.117492,0.117492,0.117492,13933.2,8692.97,5645.66,3852.07,2585.33,1774.77,1255.65,902.548,672.467,527.919,418.041,342.071,277.364,231.371,196.466,168.014,141.263,116.331,95.7399,80.2526,68.7544,58.7228,46.99,39.5983,30.8574,26.9269,21.8231,3.81317,0.70397,0.234657,0.234657,0.234657,14038.6,8697.4,5611.73,3835.25,2552.6,1746.41,1239.58,888.881,660.961,515.735,407.665,330.246,269.999,228.506,192.58,163.453,136.904,112.407,94.2975,79.3529,68.1591,56.7309,45.1854,35.867,27.838,24.9663,20.7466,3.10613,0.644669,0.175819,0.175819,0.175819,12766.4,8065.88,5284.71,3655.93,2480.33,1699.92,1209.47,871.705,652.873,514.573,408.668,334.365,274.786,231.518,196.405,168.542,141.358,116.212,96.7303,81.0994,68.9798,57.7663,45.4202,37.3782,29.676,26.0515,21.0677,3.73782,1.01941,0.339802,0.339802,0.339802,31,259,0,46162.7,63010052,0,0,16,0,0,0,0,16,-1,0,303,0
63010053-2026-05-21-LPA3 NAVAIR.csv,LPA3 NAVAIR,LPA3 NAVAIR,63010053,1072,0,LPA3 NAVAIR #63010053 CALIBRATE,8735,74,174,1010,2160,3232,10266,16808,29358,60,300,750,200,500,14710,59.38,50,1779363393,1810899393,1,0,0,9,0,2147483648,0,0,0,30,0,1,30,150,40,20,100,90,50,50,50,40,20,40,20,0,74,118,174,236,314,406,504,618,744,874,1010,1156,1300,1452,1606,1762,1946,2160,2426,2698,2962,3232,3616,4006,4360,4746,5196,10266,16808,29358,29358,29358,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,38,50,70,70,70,1426466,584860,45068,12135,5402,217,23,0,1433580,585192,45154,12069,5542,270,47,5,1435990,586941,45450,12045,5528,282,88,0,1.44E+06,580918,45127,12148.9,5521.39,288.869,51.6676,4.69706,14264.7,8895.58,5848.6,4052.4,2760.37,1899.26,1368.53,994.532,739.293,569.506,450.685,363.761,296.67,245.234,206.333,173.377,145.128,121.352,96.1634,77.6251,65.9725,54.0257,44.1386,36.1348,30.4851,25.3062,20.1272,2.17751,0.235406,0,0,0,14335.8,8925.65,5851.93,4047.68,2764.07,1900.79,1363.07,986.974,740.407,571.474,451.548,360.661,293.689,244.682,205.806,172.762,144.724,120.692,98.9566,80.4022,65.8532,55.4275,43.2346,34.8704,29.1568,24.3268,19.0845,2.70952,0.471222,0.0589027,0.0589027,0.0589027,14359.9,8963.43,5869.41,4054.79,2778.1,1905.17,1374.66,996.918,742.935,575.261,454.509,365.138,298.139,244.917,206.766,175.387,145.243,120.457,95.1997,78.4205,65.4093,55.283,43.9791,35.3834,29.5549,23.9618,19.4874,2.82597,0.883114,0,0,0,14432.6,8918.96,5809.18,4032.14,2755.34,1898.79,1365.15,994.955,740.374,573.393,451.27,362.519,296.408,245.163,206.483,175.341,147.088,121.489,98.2625,80.7424,66.5338,55.2139,43.6122,35.3219,29.0983,23.8845,19.1405,2.88869,0.516676,0.0469706,0.0469706,0.0469706,25,280,36,46163.5,63010053,0,0,16,0,0,0,0,16,-1,0,303,0
63010054-2026-05-21-LPA3 NAVAIR.csv,LPA3 NAVAIR,LPA3 NAVAIR,63010054,1072,0,LPA3 NAVAIR #63010054 CALIBRATE,10874,74,184,1052,2200,3224,9736,16410,23448,60,300,750,200,500,11102,97.95,50,1779356791,1810892791,1,0,0,8,0,2147483648,0,0,0,30,0,1,30,150,40,20,100,90,50,50,50,40,20,40,20,0,74,122,184,252,338,434,538,656,784,914,1052,1200,1346,1496,1642,1796,1982,2200,2434,2682,2914,3224,3624,3992,4408,4806,5300,9736,16410,23448,23448,23448,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,38,50,70,70,70,1371556,556635,43358,11587,5349,303,71,11,1383540,561360,43596,11593,5519,298,35,5,1374693,559824,43346,12087,5736,309,29,11,1.37E+06,561616,43836.5,12180,5782.61,358.648,67.5375,11.6444,13715.6,8500.7,5566.35,3881.58,2634.21,1835.91,1305.46,943.781,701.491,545.882,433.584,346.665,285.005,237.286,199.098,171.098,142.443,115.873,95.3194,78.7576,65.7108,53.498,41.4639,33.0639,25.8554,21.2681,16.8,3.0383,0.714895,0.119149,0.119149,0.119149,13835.4,8579.02,5613.61,3917.45,2664.05,1863.35,1331.9,957.457,711.998,549.809,435.961,350.843,286.945,238.425,201.589,170.653,142.757,115.934,97.4564,80.8858,68.0108,55.1955,42.3205,34.5121,27.4189,22.7696,17.5839,2.98032,0.357638,0.0596063,0.0596063,0.0596063,13746.9,8510.83,5598.25,3912.12,2682.93,1872.12,1325.11,961.945,712.091,550.942,433.462,350.237,288.339,240.203,203.863,174.195,145.957,120.876,100.74,83.7614,70.7742,57.37,44.4424,35.8637,27.4041,22.102,18.051,3.09786,0.297871,0.119148,0.119148,0.119148,13663,8559.47,5616.16,3899.92,2667.9,1841.35,1320.31,960.034,716.34,556.206,438.365,351.777,291.343,243.252,207.177,176.459,147.977,121.8,100.654,82.978,70.4952,57.8261,45.4132,36.6333,29.4836,24.4998,19.7722,3.58648,0.675375,0.116444,0.116444,0.116444,25,261,34,46163.4,63010054,0,0,16,0,0,0,0,16,-1,0,303,0
